id,rut_personal,id_hora,rut_paciente,fecha_hora,monto,estado,mediopago,bono,boleta,vaucher
131,57378727-6,3068,60334032-8,2025-04-21 10:00:00,2820245,0,0,0,0,0
132,73177104-4,785,65999494-0,2025-04-13 10:00:00,3120345,0,0,0,0,0
133,95208514-3,2824,62237414-5,2025-04-09 10:30:00,3120345,1,3,0,27,0
134,22767738-4,1015,30716561-0,2025-04-06 18:00:00,1800999,1,4,0,28,0
135,22767738-4,1692,59644030-9,2025-04-05 10:30:00,2727431,1,4,0,29,0
136,95208514-3,2003,12457845-7,2025-04-27 15:00:00,3092497,0,0,0,0,0
137,86209409-0,2318,22519178-2,2025-04-21 09:30:00,2132690,0,0,0,0,0
138,86209409-0,128,23572980-4,2025-04-12 18:00:00,1600123,0,0,0,0,0
139,22767738-4,1909,25422399-6,2025-04-09 09:30:00,1750012,1,4,0,30,0
140,57378727-6,220,32601187-2,2025-04-19 09:15:00,2727431,1,3,0,31,0
141,73177104-4,470,90942860-9,2025-04-21 13:00:00,2086651,0,0,0,0,0
142,94023614-4,2797,78678453-4,2025-04-11 14:30:00,3010000,1,4,0,32,0
143,94023614-4,3467,53407302-6,2025-04-07 18:00:00,2086651,0,0,0,0,0
144,57378727-6,1303,86853828-8,2025-04-23 14:30:00,3092497,0,0,0,0,0
145,73177104-4,1418,14540200-5,2025-04-19 18:00:00,50500,1,4,0,33,0
146,86209409-0,3365,20114723-0,2025-04-17 08:00:00,3120345,0,0,0,0,0
147,22767738-4,2135,53039267-4,2025-04-22 10:30:00,3092497,1,4,0,34,0
148,95208514-3,1361,93827792-4,2025-04-28 12:15:00,1750012,1,3,0,35,0
149,86209409-0,3670,78662663-0,2025-04-11 14:15:00,2506300,0,0,0,0,0
150,57378727-6,3,58719444-0,2025-04-22 10:45:00,2105020,0,0,0,0,0
151,57378727-6,1350,24554256-3,2025-04-25 08:00:00,3081058,1,1,0,36,11
152,73177104-4,2930,55643376-9,2025-04-20 18:30:00,2727431,0,0,0,0,0
153,22767738-4,3196,24595395-3,2025-04-19 08:15:00,3081058,1,3,0,37,0
154,86209409-0,947,80062558-9,2025-04-21 11:15:00,3010000,1,4,0,38,0
155,86209409-0,2904,21870177-9,2025-04-12 13:00:00,2506300,1,1,0,39,12
156,22767738-4,462,99550289-1,2025-04-07 18:30:00,3120345,1,3,0,40,0
157,57378727-6,150,66747669-9,2025-04-13 15:00:00,3238968,0,0,0,0,0
158,86209409-0,1506,97926155-6,2025-04-09 18:00:00,3092497,0,0,0,0,0
159,95208514-3,3549,98275857-9,2025-04-06 13:00:00,1800999,0,0,0,0,0
160,94023614-4,3167,23124705-7,2025-04-14 15:45:00,2506300,0,0,0,0,0
161,22767738-4,623,75006543-8,2025-04-19 12:00:00,2820245,0,0,0,0,0
162,94023614-4,1204,78803927-1,2025-04-02 11:00:00,1750012,0,0,0,0,0
163,57378727-6,2785,43959822-2,2025-04-17 13:15:00,50500,0,0,0,0,0
164,22767738-4,3675,70026603-3,2025-04-30 10:00:00,2105020,1,2,0,41,13
165,22767738-4,3587,55790193-3,2025-04-14 10:15:00,1750012,0,0,0,0,0
166,73177104-4,1984,32043482-6,2025-04-15 18:45:00,1800999,0,0,0,0,0
167,57378727-6,259,53337367-3,2025-04-20 08:15:00,2800365,0,0,0,0,0
168,86209409-0,2609,69482795-6,2025-04-17 18:30:00,35000,0,0,0,0,0
169,94023614-4,121,78803927-1,2025-04-30 16:45:00,50500,1,1,0,42,14
170,73177104-4,3085,15869307-3,2025-04-03 09:45:00,2506300,0,0,0,0,0
171,73177104-4,3518,57581646-4,2025-04-24 16:00:00,1600123,0,0,0,0,0
172,57378727-6,1971,35405564-1,2025-04-16 09:00:00,2506300,0,0,0,0,0
173,22767738-4,2224,21398093-5,2025-04-04 10:45:00,1600123,0,0,0,0,0
174,22767738-4,3204,58074747-6,2025-04-16 08:15:00,2506300,0,0,0,0,0
175,73177104-4,342,52872009-7,2025-04-11 11:30:00,2800365,0,0,0,0,0
176,95208514-3,2850,58074747-6,2025-04-25 09:30:00,2820245,1,2,0,43,15
177,95208514-3,1834,57581646-4,2025-04-26 14:15:00,2800365,0,0,0,0,0
178,57378727-6,689,90438698-1,2025-04-18 09:30:00,1800999,0,0,0,0,0
179,94023614-4,2440,99921909-4,2025-04-15 17:30:00,3081058,0,0,0,0,0
180,57378727-6,358,79018541-2,2025-04-16 12:30:00,1600123,0,0,0,0,0
181,73177104-4,2718,28592060-1,2025-04-02 18:30:00,35000,0,0,0,0,0
182,57378727-6,1973,78093216-6,2025-04-17 15:00:00,35000,0,0,0,0,0
183,94023614-4,2113,98275857-9,2025-04-24 14:00:00,2086651,0,0,0,0,0
184,73177104-4,3439,94761985-0,2025-04-09 16:45:00,35000,0,0,0,0,0
185,86209409-0,937,68316971-1,2025-04-08 14:15:00,1800999,0,0,0,0,0
186,86209409-0,1470,78093216-6,2025-04-13 10:00:00,35000,0,0,0,0,0
187,57378727-6,2628,86853828-8,2025-04-12 17:00:00,1750012,0,0,0,0,0
188,22767738-4,1383,63952204-2,2025-04-19 13:30:00,2086651,0,0,0,0,0
189,86209409-0,54,42856973-7,2025-04-09 17:45:00,3092497,0,0,0,0,0
190,94023614-4,3144,60775663-1,2025-04-26 18:30:00,2086651,0,0,0,0,0
191,95208514-3,152,32090021-3,2025-04-22 15:15:00,1600123,1,3,0,44,0
192,94023614-4,1189,65999494-0,2025-04-07 18:45:00,2105020,0,0,0,0,0
193,22767738-4,496,60593511-0,2025-04-22 14:15:00,3092497,0,0,0,0,0
194,94023614-4,215,80062558-9,2025-04-30 18:30:00,50500,0,0,0,0,0
195,95208514-3,2101,37926941-4,2025-04-17 08:45:00,50500,0,0,0,0,0
196,22767738-4,2045,88755903-1,2025-05-01 08:45:00,3238968,0,0,0,0,0
197,95208514-3,1907,39009356-0,2025-04-26 11:45:00,3238968,0,0,0,0,0
198,94023614-4,1696,50672725-4,2025-04-10 11:45:00,50500,0,0,0,0,0
199,86209409-0,1761,82205587-1,2025-04-25 15:45:00,3010000,0,0,0,0,0
200,22767738-4,2884,51263568-1,2025-04-07 08:45:00,2506300,0,0,0,0,0
201,22767738-4,2049,99550289-1,2025-04-29 13:45:00,2800365,0,0,0,0,0
202,86209409-0,2959,37926941-4,2025-04-03 11:00:00,2506300,0,0,0,0,0
203,95208514-3,506,20272755-6,2025-04-10 11:00:00,1600123,1,1,0,45,16
204,57378727-6,1000,13560469-0,2025-04-18 12:00:00,3120345,0,0,0,0,0
205,95208514-3,201,94761985-0,2025-04-22 11:30:00,2086651,1,2,0,46,17
206,95208514-3,1514,23124705-7,2025-04-05 10:00:00,3120345,1,4,0,47,0
207,86209409-0,3323,63952204-2,2025-04-27 15:15:00,2506300,1,3,0,48,0
208,57378727-6,343,99352036-1,2025-04-22 18:30:00,35000,0,0,0,0,0
209,95208514-3,998,76332098-2,2025-04-05 12:15:00,1800999,0,0,0,0,0
210,22767738-4,3423,65012894-9,2025-04-02 08:15:00,2086651,1,4,0,49,0
211,95208514-3,1194,21509837-2,2025-04-12 08:30:00,3010000,1,4,0,50,0
212,94023614-4,1408,87722745-4,2025-04-05 11:30:00,3010000,0,0,0,0,0
213,95208514-3,3651,65012894-9,2025-04-12 14:15:00,1600123,1,4,0,51,0
214,22767738-4,2823,45056798-6,2025-04-28 11:30:00,2506300,0,0,0,0,0
215,57378727-6,3647,67552699-5,2025-04-19 16:45:00,2506300,0,0,0,0,0
216,57378727-6,3298,40884415-9,2025-04-10 17:30:00,1750012,0,0,0,0,0
217,94023614-4,431,51072055-5,2025-04-10 15:45:00,2727431,0,0,0,0,0
218,73177104-4,1524,13087595-1,2025-04-22 17:00:00,50500,1,3,0,52,0
219,73177104-4,610,25939458-6,2025-04-05 17:00:00,1600123,0,0,0,0,0
220,73177104-4,3513,32818392-4,2025-04-17 13:30:00,1750012,0,0,0,0,0
221,94023614-4,2682,10615206-0,2025-04-05 10:00:00,3010000,0,0,0,0,0
222,22767738-4,3025,22212788-6,2025-04-07 17:00:00,3010000,1,3,0,53,0
223,86209409-0,3556,75833080-6,2025-04-21 14:15:00,2086651,0,0,0,0,0
224,94023614-4,2337,38867100-7,2025-04-07 11:30:00,2727431,0,0,0,0,0
225,86209409-0,3527,40484874-8,2025-04-08 10:00:00,3081058,1,2,0,54,18
226,73177104-4,2306,28592060-1,2025-04-18 12:00:00,3120345,0,0,0,0,0
227,57378727-6,1674,72424451-8,2025-04-05 13:30:00,1800999,0,0,0,0,0
228,95208514-3,1327,58501550-1,2025-04-18 11:15:00,3092497,0,0,0,0,0
229,94023614-4,2203,30263166-2,2025-04-13 18:00:00,1750012,0,0,0,0,0
230,57378727-6,1956,40521119-8,2025-04-18 17:15:00,2132690,0,0,0,0,0
231,22767738-4,187,40521119-8,2025-04-16 14:15:00,1800999,1,4,0,55,0
232,86209409-0,1771,68040732-2,2025-04-07 14:45:00,35000,0,0,0,0,0
233,86209409-0,208,69482795-6,2025-04-02 08:30:00,1750012,1,3,0,56,0
234,95208514-3,2709,70026603-3,2025-04-07 11:00:00,2727431,0,0,0,0,0
235,57378727-6,3143,26699972-2,2025-04-16 14:30:00,1800999,0,0,0,0,0
236,86209409-0,2724,27470077-6,2025-04-24 18:00:00,2727431,0,0,0,0,0
237,57378727-6,672,45846060-8,2025-04-26 14:30:00,3238968,0,0,0,0,0
238,22767738-4,2508,98275857-9,2025-04-19 18:15:00,1750012,1,2,0,57,19
239,22767738-4,711,90788070-1,2025-04-15 16:00:00,2506300,0,0,0,0,0
240,95208514-3,3400,13087595-1,2025-04-28 10:00:00,2820245,0,0,0,0,0
241,73177104-4,2862,76332098-2,2025-04-11 10:15:00,1600123,1,2,0,58,20
242,22767738-4,1273,38324156-4,2025-04-02 15:15:00,1750012,0,0,0,0,0
243,73177104-4,640,21774192-3,2025-05-02 09:00:00,1800999,0,0,0,0,0
244,95208514-3,2808,40521119-8,2025-04-30 12:45:00,3081058,1,3,0,59,0
245,95208514-3,2256,97926155-6,2025-04-16 10:45:00,2820245,0,0,0,0,0
246,73177104-4,2322,69145853-7,2025-04-17 14:15:00,2105020,0,0,0,0,0
247,86209409-0,949,65660643-5,2025-04-01 11:15:00,1750012,1,1,0,60,21
248,94023614-4,147,40388373-6,2025-04-02 17:30:00,1600123,0,0,0,0,0
249,57378727-6,1808,99921909-4,2025-04-24 18:45:00,2132690,1,2,0,61,22
250,73177104-4,700,14540200-5,2025-04-16 10:00:00,50500,1,1,0,62,23
251,94023614-4,518,16625683-2,2025-04-08 12:30:00,2086651,0,0,0,0,0
252,57378727-6,1694,35405564-1,2025-04-14 11:45:00,2727431,1,1,0,63,24
253,57378727-6,2357,67260949-6,2025-04-17 08:15:00,2086651,0,0,0,0,0
254,57378727-6,1365,23572980-4,2025-04-24 18:00:00,2086651,1,2,0,64,25
255,86209409-0,804,70414825-8,2025-04-14 10:30:00,3081058,0,0,0,0,0
256,57378727-6,1031,65999494-0,2025-04-26 11:15:00,2820245,0,0,0,0,0
257,95208514-3,3190,89765444-6,2025-04-04 15:30:00,2800365,0,0,0,0,0
258,22767738-4,2699,72795772-4,2025-04-22 11:00:00,2727431,1,3,0,65,0
259,73177104-4,2660,78093216-6,2025-04-23 16:45:00,1800999,1,4,0,66,0
260,86209409-0,1970,47192537-4,2025-04-23 08:00:00,2132690,1,1,0,67,26
261,86209409-0,1334,78671018-8,2025-04-15 08:45:00,2820245,0,0,0,0,0
262,86209409-0,1756,45955017-8,2025-04-14 10:45:00,2086651,1,2,0,68,27
263,95208514-3,673,35405564-1,2025-04-18 08:30:00,1600123,0,0,0,0,0
264,57378727-6,472,68234030-5,2025-04-06 14:30:00,1800999,0,0,0,0,0
265,94023614-4,1517,60775663-1,2025-04-18 17:15:00,1750012,0,0,0,0,0
266,86209409-0,1105,27075358-5,2025-04-05 10:30:00,2132690,0,0,0,0,0
267,94023614-4,1955,78803927-1,2025-04-18 18:30:00,3092497,0,0,0,0,0
268,86209409-0,862,13560469-0,2025-04-19 15:45:00,2820245,1,2,0,69,28
269,73177104-4,1671,31462078-5,2025-04-17 17:45:00,3092497,1,2,0,70,29
270,95208514-3,2664,20114723-0,2025-04-13 10:45:00,1800999,0,0,0,0,0
271,73177104-4,3095,19015534-8,2025-04-19 16:45:00,1800999,0,0,0,0,0
272,94023614-4,2954,97372190-1,2025-04-11 14:30:00,1800999,0,0,0,0,0
273,95208514-3,3603,23124705-7,2025-04-17 16:30:00,2820245,0,0,0,0,0
274,57378727-6,1993,36428633-7,2025-04-25 12:45:00,3092497,0,0,0,0,0
275,73177104-4,2069,19805123-3,2025-05-01 10:30:00,2132690,0,0,0,0,0
276,86209409-0,3673,12429516-4,2025-04-14 18:15:00,2820245,0,0,0,0,0
277,57378727-6,3642,68040732-2,2025-04-26 08:45:00,2506300,0,0,0,0,0
278,22767738-4,3044,45955017-8,2025-04-20 12:45:00,3092497,0,0,0,0,0
279,86209409-0,291,79018541-2,2025-04-24 18:15:00,1600123,1,1,0,71,30
280,22767738-4,1372,25422399-6,2025-04-14 08:45:00,2820245,0,0,0,0,0
281,94023614-4,252,25811298-1,2025-04-29 18:30:00,2506300,0,0,0,0,0
282,73177104-4,1979,25811298-1,2025-04-23 18:15:00,1800999,1,4,0,72,0
283,94023614-4,3134,49190437-8,2025-04-03 12:15:00,2727431,0,0,0,0,0
284,94023614-4,2964,78785402-2,2025-04-16 18:45:00,2506300,0,0,0,0,0
285,22767738-4,3573,97980836-2,2025-04-25 10:45:00,3092497,0,0,0,0,0
286,95208514-3,2164,50672725-4,2025-04-04 08:30:00,2800365,0,0,0,0,0
287,95208514-3,2011,53337367-3,2025-05-02 11:15:00,1800999,0,0,0,0,0
288,95208514-3,2469,48863238-8,2025-04-07 18:45:00,2820245,0,0,0,0,0
289,73177104-4,604,96253618-2,2025-04-22 08:15:00,1600123,1,1,0,73,31
290,86209409-0,399,61864673-3,2025-04-10 12:30:00,2727431,0,0,0,0,0
291,95208514-3,1085,68316971-1,2025-04-17 09:15:00,3092497,0,0,0,0,0
292,86209409-0,3147,33791677-0,2025-04-30 09:00:00,2132690,0,0,0,0,0
293,22767738-4,1555,12802093-1,2025-04-17 10:15:00,2727431,0,0,0,0,0
294,22767738-4,3451,28841318-9,2025-04-25 08:15:00,2800365,0,0,0,0,0
295,95208514-3,2965,37926941-4,2025-04-14 10:30:00,3092497,0,0,0,0,0
296,86209409-0,207,30716561-0,2025-04-23 08:45:00,2820245,0,0,0,0,0
297,73177104-4,2297,26529183-7,2025-04-13 12:15:00,2086651,0,0,0,0,0
298,95208514-3,851,44480804-6,2025-04-20 15:00:00,2820245,1,1,0,74,32
299,86209409-0,1443,56640243-9,2025-04-15 17:00:00,2132690,0,0,0,0,0
300,22767738-4,1335,69145853-7,2025-04-15 16:15:00,2132690,1,2,0,75,33
301,95208514-3,3057,27470077-6,2025-04-06 15:30:00,2105020,1,3,0,76,0
302,86209409-0,3416,56809478-6,2025-04-07 15:30:00,3010000,0,0,0,0,0
303,86209409-0,2420,86190085-8,2025-04-22 15:00:00,2132690,0,0,0,0,0
304,94023614-4,2659,49873347-8,2025-04-21 15:30:00,3238968,0,0,0,0,0
305,73177104-4,1783,87722745-4,2025-04-21 18:30:00,3081058,0,0,0,0,0
306,94023614-4,2545,41416859-6,2025-04-17 13:30:00,2727431,0,0,0,0,0
307,86209409-0,3137,93827792-4,2025-04-15 10:30:00,1800999,0,0,0,0,0
308,73177104-4,2525,55322795-0,2025-04-14 14:30:00,35000,0,0,0,0,0
309,95208514-3,3222,41416859-6,2025-04-14 16:45:00,2086651,1,4,0,77,0
310,94023614-4,3320,32090021-3,2025-04-14 13:45:00,2506300,0,0,0,0,0
311,86209409-0,1130,84638972-5,2025-04-05 12:30:00,2800365,0,0,0,0,0
312,22767738-4,2080,87997004-2,2025-04-28 12:45:00,1750012,0,0,0,0,0
313,86209409-0,811,95010809-6,2025-04-18 09:45:00,3010000,0,0,0,0,0
314,95208514-3,370,65012894-9,2025-04-05 10:00:00,3238968,1,2,0,78,34
315,95208514-3,924,36809677-6,2025-05-01 13:15:00,2105020,1,4,0,79,0
316,22767738-4,79,58501550-1,2025-04-19 08:45:00,2800365,0,0,0,0,0
317,57378727-6,387,36428633-7,2025-04-05 14:15:00,3238968,0,0,0,0,0
318,22767738-4,2416,94761985-0,2025-04-27 12:45:00,3120345,0,0,0,0,0
