numero,id_hora,rut_paciente,fecha_hora,comentario
114,2323,58501550-1,2025-05-01 09:15:00,Realizacion de cirugia ortopedica
115,3009,51992140-2,2025-05-01 12:15:00,Realizacion de cirugia abdominal
116,403,23124705-7,2025-04-23 11:00:00,Problemas respiratorios
117,2193,80061523-7,2025-04-15 17:00:00,Realizacion de cirugia ortopedica
118,260,91096368-2,2025-04-24 17:00:00,Realizacion de cirugia otorrinolaringologica
119,3238,63958627-0,2025-04-25 08:30:00,Realizacion de cirugia renal
120,2637,49197992-8,2025-04-22 11:00:00,Realizacion de cirugia renal
121,865,44722314-7,2025-04-03 15:15:00,Realizacion de cirugia en torax
122,2528,36809677-6,2025-04-17 16:30:00,Solicitud de examen de sangre
123,856,76332098-2,2025-04-23 16:45:00,Realizacion de cirugia neurologica
124,1379,76332098-2,2025-04-12 14:00:00,Realizacion de cirugia plastica
125,3279,67260949-6,2025-04-04 11:30:00,Realizacion de cirugia renal
126,2619,21870177-9,2025-04-29 09:30:00,Realizacion de cirugia cardiovascular
127,2872,68040732-2,2025-04-22 08:00:00,Realizacion de cirugia abdominal
128,2079,40884415-9,2025-04-13 09:45:00,Realizacion de cirugia renal
129,3139,32090021-3,2025-04-16 15:30:00,Realizacion de cirugia renal
130,3540,44722314-7,2025-04-11 16:45:00,Realizacion de cirugia abdominal
131,2081,75563674-2,2025-04-26 16:00:00,Realizacion de cirugia cardiovascular
132,3361,14875579-3,2025-04-25 10:45:00,Realizacion de cirugia abdominal
133,3267,50066254-1,2025-04-05 12:15:00,Realizacion de cirugia cardiovascular
134,95,67552699-5,2025-04-28 14:00:00,Realizacion de cirugia en torax
135,2733,23572980-4,2025-04-21 12:45:00,Realizacion de cirugia otorrinolaringologica
136,505,92670172-1,2025-04-24 16:00:00,Realizacion de cirugia abdominal
137,2151,23572980-4,2025-04-21 14:15:00,Realizacion de cirugia en torax
138,876,23572980-4,2025-04-07 14:30:00,Realizacion de cirugia plastica
139,175,16226259-9,2025-04-14 18:45:00,Realizacion de cirugia otorrinolaringologica
140,1894,15074844-0,2025-04-26 11:15:00,Realizacion de cirugia neurologica
141,3386,45955017-8,2025-04-21 09:30:00,Realizacion de cirugia ortopedica
142,273,67552699-5,2025-04-20 17:30:00,Realizacion de cirugia en torax
143,2053,55539940-3,2025-04-04 08:30:00,Realizacion de cirugia cardiovascular
144,1933,60593511-0,2025-04-12 14:00:00,Realizacion de cirugia ortopedica
145,1755,90788070-1,2025-04-11 09:30:00,Realizacion de cirugia neurologica
146,3165,91766615-6,2025-04-18 13:30:00,Realizacion de cirugia plastica
147,1104,32601187-2,2025-04-28 12:30:00,Realizacion de cirugia ortopedica
148,2113,98275857-9,2025-04-23 14:00:00,Realizacion de cirugia ortopedica
149,1401,90942860-9,2025-04-14 18:45:00,Realizacion de cirugia ortopedica
150,288,12429516-4,2025-04-03 13:30:00,Realizacion de cirugia renal
151,330,51992140-2,2025-04-08 17:30:00,Realizacion de cirugia cardiovascular
152,2432,96253618-2,2025-04-28 18:15:00,Realizacion de cirugia neurologica
153,2878,40521119-8,2025-04-08 15:00:00,Realizacion de cirugia abdominal
154,1701,24554256-3,2025-04-25 12:00:00,Realizacion de cirugia abdominal
155,285,53337367-3,2025-05-01 17:45:00,Realizacion de cirugia renal
156,1407,51009521-0,2025-04-29 18:30:00,Realizacion de cirugia neurologica
157,523,48263743-9,2025-04-07 09:30:00,Realizacion de cirugia renal
158,1903,80062558-9,2025-04-28 11:00:00,Realizacion de cirugia abdominal
159,2796,95010809-6,2025-04-28 14:15:00,Realizacion de cirugia ortopedica
160,199,25939458-6,2025-05-01 15:30:00,Realizacion de cirugia otorrinolaringologica
161,502,55223444-3,2025-04-24 15:45:00,Realizacion de cirugia en torax
162,1828,62614900-0,2025-04-24 15:30:00,Revision de cicatriz postoperatoria
163,707,23788335-3,2025-04-05 18:30:00,Realizacion de cirugia renal
164,295,57581646-4,2025-04-29 11:00:00,Realizacion de cirugia cardiovascular
165,1765,17091110-7,2025-04-03 09:00:00,Realizacion de cirugia neurologica
166,663,44722314-7,2025-04-21 16:15:00,Realizacion de cirugia otorrinolaringologica
167,2605,77121423-7,2025-04-28 18:00:00,Realizacion de cirugia ortopedica
168,3416,56809478-6,2025-04-06 15:30:00,Realizacion de cirugia otorrinolaringologica
169,2055,59765653-7,2025-04-25 13:45:00,Realizacion de cirugia renal
170,3270,12457845-7,2025-04-05 15:45:00,Realizacion de cirugia otorrinolaringologica
171,2374,49771636-9,2025-04-03 14:00:00,Realizacion de cirugia otorrinolaringologica
172,3581,33424109-6,2025-04-10 08:30:00,Realizacion de cirugia renal
173,3151,65660643-5,2025-04-09 11:30:00,Realizacion de cirugia neurologica
174,882,86190085-8,2025-04-22 09:00:00,Realizacion de cirugia otorrinolaringologica
175,451,33791677-0,2025-04-30 15:15:00,Realizacion de cirugia renal
176,998,76332098-2,2025-04-03 12:15:00,Realizacion de cirugia neurologica
177,2290,72222830-6,2025-04-04 17:30:00,Realizacion de cirugia otorrinolaringologica
178,1129,20940665-3,2025-04-21 10:45:00,Realizacion de cirugia abdominal
179,1418,14540200-5,2025-04-20 18:00:00,Dolor abdominal y nauseas
180,1303,86853828-8,2025-04-23 14:30:00,Realizacion de cirugia plastica
181,781,20940665-3,2025-04-18 16:45:00,Realizacion de cirugia cardiovascular
182,3510,19805123-3,2025-04-30 12:00:00,Realizacion de cirugia renal
183,1184,13560469-0,2025-04-05 17:00:00,Realizacion de cirugia otorrinolaringologica
184,2070,63708168-9,2025-05-01 17:15:00,Realizacion de cirugia plastica
185,2861,47192537-4,2025-04-13 16:15:00,Realizacion de cirugia en torax
186,867,95010809-6,2025-04-23 16:30:00,Realizacion de cirugia otorrinolaringologica
187,3634,48115949-8,2025-05-01 18:30:00,Solicitud de radiografia
188,1087,87722745-4,2025-04-13 11:30:00,Revision de cicatriz postoperatoria
189,1152,96998252-1,2025-04-26 12:30:00,Realizacion de cirugia abdominal
190,3283,57891601-9,2025-04-25 12:45:00,Realizacion de cirugia en torax
191,1516,15074844-0,2025-04-02 17:00:00,Realizacion de cirugia cardiovascular
192,3317,78671018-8,2025-04-19 13:00:00,Realizacion de cirugia otorrinolaringologica
193,2520,72795772-4,2025-04-20 11:00:00,Problemas respiratorios
194,80,37035246-9,2025-04-05 18:45:00,Realizacion de cirugia cardiovascular
195,629,63708168-9,2025-04-30 18:00:00,Realizacion de cirugia ortopedica
196,2091,14100953-3,2025-04-30 08:30:00,Realizacion de cirugia cardiovascular
197,1097,86190085-8,2025-04-11 16:45:00,Realizacion de cirugia en torax
198,1260,75833080-6,2025-04-12 10:45:00,Realizacion de cirugia ortopedica
199,1684,66594934-8,2025-04-22 13:15:00,Dolor abdominal y nauseas
200,3523,45846060-8,2025-04-08 13:45:00,Realizacion de cirugia en torax
201,845,17091110-7,2025-04-22 08:00:00,Realizacion de cirugia cardiovascular
202,950,59604556-2,2025-04-21 16:30:00,Realizacion de cirugia renal
203,785,65999494-0,2025-04-11 10:00:00,Realizacion de cirugia ortopedica
204,391,53407302-6,2025-04-16 18:30:00,Realizacion de cirugia renal
205,3582,45846060-8,2025-04-05 13:00:00,Realizacion de cirugia abdominal
206,943,85033698-2,2025-04-28 18:00:00,Realizacion de cirugia otorrinolaringologica
207,3231,67384344-0,2025-04-11 13:15:00,Realizacion de cirugia otorrinolaringologica
208,3205,85188169-7,2025-04-17 09:00:00,Realizacion de cirugia otorrinolaringologica
209,2277,84638972-5,2025-04-26 08:30:00,Realizacion de cirugia neurologica
210,1301,59765653-7,2025-04-28 17:15:00,Realizacion de cirugia otorrinolaringologica
211,3058,64744316-9,2025-04-25 08:30:00,Realizacion de cirugia neurologica
212,2110,15347792-3,2025-04-11 18:00:00,Realizacion de cirugia renal
213,2808,40521119-8,2025-04-29 12:45:00,Realizacion de cirugia neurologica
214,3443,66747669-9,2025-04-14 09:45:00,Solicitud de radiografia
215,1209,74803113-9,2025-04-06 18:15:00,Realizacion de cirugia plastica
216,3164,50692374-0,2025-04-12 16:45:00,Realizacion de cirugia renal
217,1658,32043482-6,2025-04-26 14:30:00,Realizacion de cirugia abdominal
218,1320,61617949-1,2025-04-14 14:15:00,Realizacion de cirugia ortopedica
219,1676,51263568-1,2025-04-23 09:15:00,Realizacion de cirugia renal
220,1613,45152877-6,2025-04-15 13:15:00,Solicitud de radiografia
221,642,16251209-1,2025-04-19 12:15:00,Realizacion de cirugia ortopedica
222,2462,42856973-7,2025-05-01 14:45:00,Realizacion de cirugia en torax
223,2778,28841318-9,2025-04-11 18:45:00,Realizacion de cirugia ortopedica
224,861,27423273-6,2025-05-01 11:15:00,Realizacion de cirugia otorrinolaringologica
225,773,12802093-1,2025-04-20 11:00:00,Realizacion de cirugia abdominal
226,2777,65999494-0,2025-04-18 08:45:00,Realizacion de cirugia ortopedica
227,454,37640277-4,2025-04-19 13:15:00,Realizacion de cirugia renal
228,1956,40521119-8,2025-04-19 17:15:00,Realizacion de cirugia plastica
229,37,56640243-9,2025-04-18 17:00:00,Realizacion de cirugia en torax
230,399,61864673-3,2025-04-12 12:30:00,Realizacion de cirugia en torax
231,204,91096368-2,2025-04-12 11:15:00,Realizacion de cirugia neurologica
232,2694,87997004-2,2025-04-02 08:00:00,Realizacion de cirugia renal
233,1171,70414825-8,2025-04-14 12:45:00,Realizacion de cirugia neurologica
234,2037,22212788-6,2025-04-12 13:30:00,Realizacion de cirugia renal
235,801,74402817-6,2025-05-01 10:45:00,Realizacion de cirugia abdominal
236,3163,40388373-6,2025-04-05 16:00:00,Realizacion de cirugia otorrinolaringologica
237,1109,67552699-5,2025-04-30 09:00:00,Realizacion de cirugia otorrinolaringologica
238,3207,16251209-1,2025-04-03 14:30:00,Solicitud de radiografia
239,1100,76332098-2,2025-04-18 11:00:00,Realizacion de cirugia ortopedica
240,763,44722314-7,2025-04-30 12:15:00,Realizacion de cirugia plastica
241,1406,60775663-1,2025-04-29 17:30:00,Solicitud de examen de sangre
242,1895,92670172-1,2025-04-22 16:30:00,Realizacion de cirugia ortopedica
243,658,16226259-9,2025-04-18 10:45:00,Realizacion de cirugia cardiovascular
244,520,53407302-6,2025-04-26 13:45:00,Realizacion de cirugia abdominal
245,3378,12429516-4,2025-04-23 15:30:00,Realizacion de cirugia otorrinolaringologica
246,3431,16226259-9,2025-04-02 10:45:00,Realizacion de cirugia plastica
247,2624,20272755-6,2025-04-12 08:30:00,Realizacion de cirugia abdominal
248,3358,42856973-7,2025-04-27 18:00:00,Solicitud de radiografia
249,3577,40388373-6,2025-04-28 08:00:00,Realizacion de cirugia otorrinolaringologica
250,3092,56640243-9,2025-04-28 14:30:00,Realizacion de cirugia renal
251,1943,92670172-1,2025-04-15 12:45:00,Realizacion de cirugia neurologica
252,1954,15347792-3,2025-04-03 18:45:00,Realizacion de cirugia abdominal
253,2425,12802093-1,2025-04-21 09:00:00,Realizacion de cirugia plastica
254,1979,25811298-1,2025-04-25 18:15:00,Realizacion de cirugia abdominal
255,401,63952204-2,2025-04-11 08:45:00,Realizacion de cirugia renal
256,527,53407302-6,2025-04-05 18:30:00,Realizacion de cirugia otorrinolaringologica
257,3271,94361312-4,2025-04-13 10:45:00,Revision de cicatriz postoperatoria
258,2887,67384344-0,2025-04-18 10:15:00,Realizacion de cirugia renal
259,2474,46930558-3,2025-04-14 09:00:00,Solicitud de examen de sangre
260,3411,51009521-0,2025-04-20 17:45:00,Realizacion de cirugia cardiovascular
261,700,14540200-5,2025-04-14 10:00:00,Revision de cicatriz postoperatoria
262,2819,62903851-4,2025-04-12 13:30:00,Realizacion de cirugia otorrinolaringologica
263,1680,38196101-9,2025-04-14 18:15:00,Realizacion de cirugia plastica
264,2850,58074747-6,2025-04-25 09:30:00,Realizacion de cirugia renal
265,1262,81778485-8,2025-04-26 15:15:00,Realizacion de cirugia ortopedica
266,1190,23572980-4,2025-04-18 15:30:00,Realizacion de cirugia cardiovascular
267,1785,82205587-1,2025-04-05 11:30:00,Realizacion de cirugia ortopedica
268,563,72222830-6,2025-04-17 14:00:00,Realizacion de cirugia en torax
269,2956,63958627-0,2025-05-01 11:30:00,Realizacion de cirugia renal
270,2974,78662663-0,2025-04-09 13:15:00,Realizacion de cirugia neurologica
271,2611,70414825-8,2025-04-15 18:45:00,Realizacion de cirugia en torax
272,1353,79018541-2,2025-04-08 10:30:00,Realizacion de cirugia ortopedica
273,3642,68040732-2,2025-04-26 08:45:00,Realizacion de cirugia ortopedica
274,2920,78803927-1,2025-04-05 10:30:00,Realizacion de cirugia renal
275,294,45152877-6,2025-04-18 15:45:00,Realizacion de cirugia neurologica
276,2599,50672725-4,2025-05-01 14:30:00,Realizacion de cirugia en torax
277,63,79159576-1,2025-04-18 13:45:00,Realizacion de cirugia renal
278,1962,61617949-1,2025-04-20 15:15:00,Realizacion de cirugia renal
279,802,75006543-8,2025-04-15 14:45:00,Realizacion de cirugia neurologica
280,2371,78785402-2,2025-04-18 18:30:00,Realizacion de cirugia plastica
281,251,74402817-6,2025-04-13 11:30:00,Realizacion de cirugia en torax
282,1030,45152877-6,2025-04-25 12:00:00,Realizacion de cirugia plastica
283,2097,21509837-2,2025-04-30 18:30:00,Consulta general
284,3440,66264861-2,2025-04-21 16:15:00,Realizacion de cirugia neurologica
285,138,55322795-0,2025-04-17 13:45:00,Realizacion de cirugia neurologica
286,1650,45152877-6,2025-04-07 11:30:00,Revision de cicatriz postoperatoria
287,3182,81768570-2,2025-04-26 10:30:00,Realizacion de cirugia ortopedica
288,3637,81778485-8,2025-04-20 09:00:00,Realizacion de cirugia plastica
289,2553,25422399-6,2025-04-24 14:30:00,Realizacion de cirugia abdominal
290,1402,53337367-3,2025-04-04 10:45:00,Realizacion de cirugia en torax
291,2678,85188169-7,2025-04-18 14:15:00,Realizacion de cirugia renal
292,74,98967597-1,2025-04-05 11:30:00,Realizacion de cirugia otorrinolaringologica
293,3041,49771636-9,2025-04-17 11:00:00,Realizacion de cirugia en torax
294,806,45475720-7,2025-04-17 15:45:00,Realizacion de cirugia plastica
295,3252,16226259-9,2025-04-18 08:30:00,Realizacion de cirugia otorrinolaringologica
296,1052,60593511-0,2025-04-27 17:45:00,Realizacion de cirugia en torax
297,857,50692374-0,2025-04-15 13:00:00,Realizacion de cirugia abdominal
298,1540,58501550-1,2025-04-12 13:00:00,Realizacion de cirugia abdominal
299,3033,45056798-6,2025-04-06 10:00:00,Realizacion de cirugia abdominal
300,1715,24554256-3,2025-04-29 15:45:00,Realizacion de cirugia ortopedica
301,49,90438698-1,2025-04-27 08:30:00,Realizacion de cirugia plastica
302,3145,98967597-1,2025-04-05 08:00:00,Revision de cicatriz postoperatoria
303,2121,98418033-8,2025-04-02 16:30:00,Realizacion de cirugia en torax
304,657,41515034-6,2025-04-09 10:00:00,Realizacion de cirugia abdominal
305,2771,80062558-9,2025-04-27 10:30:00,Realizacion de cirugia neurologica
306,1625,22519178-2,2025-04-21 14:30:00,Realizacion de cirugia neurologica
307,148,98275857-9,2025-04-13 09:30:00,Problemas respiratorios
308,1247,66264861-2,2025-04-04 18:30:00,Realizacion de cirugia abdominal
309,1719,25811298-1,2025-04-08 16:30:00,Realizacion de cirugia abdominal
310,3459,11852079-8,2025-04-14 13:00:00,Realizacion de cirugia neurologica
311,1662,28841318-9,2025-04-09 09:15:00,Realizacion de cirugia neurologica
312,2542,88755903-1,2025-04-23 09:30:00,Realizacion de cirugia cardiovascular
313,1324,21398093-5,2025-04-11 16:45:00,Realizacion de cirugia cardiovascular
314,872,80061523-7,2025-04-10 18:45:00,Solicitud de radiografia
315,1170,69482795-6,2025-04-26 15:45:00,Realizacion de cirugia abdominal
316,86,48322668-8,2025-04-18 18:45:00,Realizacion de cirugia ortopedica
317,3334,78671018-8,2025-04-20 16:15:00,Realizacion de cirugia abdominal
318,3517,79018541-2,2025-04-02 14:30:00,Realizacion de cirugia plastica
319,774,29962868-0,2025-05-01 10:45:00,Realizacion de cirugia otorrinolaringologica
320,2680,19557494-0,2025-04-23 10:30:00,Realizacion de cirugia neurologica
321,572,44920115-1,2025-04-14 10:00:00,Realizacion de cirugia plastica
322,1066,99921909-4,2025-04-28 10:45:00,Realizacion de cirugia renal
323,3529,61864673-3,2025-04-28 17:30:00,Realizacion de cirugia ortopedica
324,1997,29519188-7,2025-04-12 10:30:00,Realizacion de cirugia cardiovascular
325,2407,89765444-6,2025-04-15 18:45:00,Realizacion de cirugia plastica
326,949,65660643-5,2025-04-02 11:15:00,Realizacion de cirugia plastica
327,1033,80062558-9,2025-04-03 14:45:00,Realizacion de cirugia otorrinolaringologica
328,1732,68040732-2,2025-04-14 11:00:00,Realizacion de cirugia abdominal
329,532,17091110-7,2025-04-23 16:45:00,Realizacion de cirugia abdominal
330,3447,35405564-1,2025-04-07 13:15:00,Realizacion de cirugia cardiovascular
331,2616,68040732-2,2025-04-23 12:30:00,Realizacion de cirugia en torax
332,558,14100953-3,2025-04-18 08:30:00,Realizacion de cirugia neurologica
333,541,75563674-2,2025-04-04 09:00:00,Realizacion de cirugia ortopedica
334,2494,45475720-7,2025-04-13 14:15:00,Realizacion de cirugia ortopedica
335,2817,25422399-6,2025-04-17 15:00:00,Realizacion de cirugia abdominal
336,161,51992140-2,2025-04-30 15:30:00,Realizacion de cirugia plastica
337,1631,21870177-9,2025-04-13 11:15:00,Realizacion de cirugia plastica
338,33,28592060-1,2025-04-27 16:30:00,Realizacion de cirugia cardiovascular
339,1583,44920115-1,2025-04-13 08:00:00,Realizacion de cirugia ortopedica
340,2935,93827792-4,2025-04-30 08:45:00,Realizacion de cirugia en torax
341,1545,19557494-0,2025-04-27 18:00:00,Realizacion de cirugia abdominal
342,1346,24554256-3,2025-04-27 14:15:00,Realizacion de cirugia otorrinolaringologica
343,3289,44920115-1,2025-04-12 18:15:00,Solicitud de examen de sangre
344,327,43024906-8,2025-04-05 15:45:00,Realizacion de cirugia ortopedica
345,1400,58719444-0,2025-04-02 08:30:00,Realizacion de cirugia neurologica
346,2340,11981843-5,2025-04-25 14:45:00,Realizacion de cirugia abdominal
347,2990,16625683-2,2025-04-10 14:15:00,Realizacion de cirugia plastica
348,2837,77724461-4,2025-04-29 14:15:00,Realizacion de cirugia plastica
349,2335,60593511-0,2025-04-16 09:15:00,Realizacion de cirugia en torax
350,248,49291952-0,2025-04-11 18:00:00,Consulta general
351,971,99921909-4,2025-04-10 13:00:00,Realizacion de cirugia renal
352,2058,62237414-5,2025-04-23 12:45:00,Realizacion de cirugia en torax
353,761,53699466-8,2025-04-16 12:45:00,Realizacion de cirugia abdominal
354,2447,64355233-5,2025-04-14 12:00:00,Realizacion de cirugia plastica
355,2921,52872009-7,2025-04-21 12:45:00,Realizacion de cirugia plastica
356,445,48322668-8,2025-04-10 12:15:00,Realizacion de cirugia renal
357,354,14100953-3,2025-04-17 11:00:00,Realizacion de cirugia ortopedica
358,2125,23788335-3,2025-04-08 18:00:00,Realizacion de cirugia en torax
