id,fecha_hora,medico,personal,tipo,web,sobrecupo,estado
43,2025-04-28 12:30:00,73177104-4,78812540-6,1,no,no,1
44,2025-04-06 08:00:00,73177104-4,51192824-9,1,si,no,1
45,2025-04-30 18:30:00,86209409-0,51192824-9,1,si,no,1
46,2025-04-13 14:15:00,22767738-4,83332889-3,2,no,no,1
47,2025-04-27 10:30:00,95208514-3,51192824-9,2,no,no,0
48,2025-04-07 10:00:00,94023614-4,51192824-9,2,no,no,1
49,2025-04-27 08:45:00,94023614-4,30387339-7,1,si,no,1
50,2025-04-24 08:00:00,73177104-4,16394885-1,1,si,no,1
51,2025-04-28 14:15:00,95208514-3,83332889-3,1,no,no,1
52,2025-04-20 11:30:00,86209409-0,51192824-9,1,no,no,0
53,2025-04-07 14:45:00,95208514-3,30387339-7,2,no,no,0
54,2025-04-15 10:15:00,86209409-0,78812540-6,1,si,no,1
55,2025-04-22 09:30:00,22767738-4,78812540-6,1,no,no,1
56,2025-04-21 18:00:00,95208514-3,30387339-7,1,si,no,0
57,2025-04-09 17:30:00,57378727-6,37899207-9,1,si,no,1
58,2025-04-12 15:30:00,95208514-3,16394885-1,1,si,no,0
59,2025-04-02 16:45:00,57378727-6,83332889-3,2,no,no,1
60,2025-04-27 13:45:00,94023614-4,83332889-3,2,no,no,1
61,2025-04-07 15:30:00,73177104-4,21784166-4,2,no,no,1
62,2025-04-10 08:30:00,57378727-6,75524136-0,1,no,no,1
63,2025-04-15 13:00:00,86209409-0,83332889-3,1,si,no,0
64,2025-04-23 16:00:00,86209409-0,78812540-6,1,si,no,1
65,2025-05-01 14:00:00,95208514-3,37899207-9,1,si,no,1
66,2025-04-17 16:45:00,94023614-4,30387339-7,1,si,no,0
67,2025-04-17 13:15:00,57378727-6,37899207-9,1,no,no,1
68,2025-04-30 14:15:00,95208514-3,16394885-1,2,no,no,1
69,2025-04-20 09:30:00,86209409-0,51192824-9,2,no,no,0
70,2025-04-17 17:45:00,94023614-4,30387339-7,1,no,no,0
71,2025-04-22 13:00:00,57378727-6,51192824-9,1,no,no,1
72,2025-04-12 16:15:00,57378727-6,75524136-0,1,si,no,0
73,2025-04-18 13:30:00,94023614-4,51192824-9,1,si,no,1
74,2025-05-01 11:15:00,57378727-6,83332889-3,2,no,no,0
75,2025-04-03 08:45:00,57378727-6,78812540-6,2,no,no,1
76,2025-04-11 11:15:00,94023614-4,21784166-4,1,si,no,0
77,2025-04-10 15:00:00,22767738-4,37899207-9,1,si,no,1
78,2025-04-11 16:30:00,86209409-0,30387339-7,2,no,no,1
79,2025-04-02 13:45:00,57378727-6,78812540-6,1,si,no,0
80,2025-04-13 10:30:00,57378727-6,30387339-7,1,si,no,0
81,2025-04-21 08:45:00,57378727-6,37899207-9,1,si,no,0
82,2025-04-25 17:30:00,22767738-4,37899207-9,1,no,no,2
83,2025-04-19 09:45:00,73177104-4,83332889-3,1,no,no,1
84,2025-04-27 16:15:00,94023614-4,21784166-4,1,no,no,1
85,2025-04-13 14:15:00,57378727-6,16394885-1,2,no,no,0
86,2025-04-21 10:45:00,57378727-6,51192824-9,1,si,no,2
87,2025-04-07 12:00:00,86209409-0,30387339-7,1,si,no,0
88,2025-04-21 15:30:00,57378727-6,37899207-9,2,no,no,0
89,2025-04-29 15:00:00,86209409-0,83332889-3,1,si,no,1
90,2025-04-24 17:00:00,86209409-0,30387339-7,1,no,no,0
91,2025-04-23 17:30:00,95208514-3,83332889-3,1,si,no,0
92,2025-04-18 14:15:00,95208514-3,37899207-9,1,si,no,1
93,2025-04-30 14:30:00,86209409-0,83332889-3,1,no,no,1
94,2025-04-28 10:15:00,94023614-4,78812540-6,1,si,no,1
95,2025-04-10 18:30:00,86209409-0,83332889-3,1,no,no,0
96,2025-04-04 12:15:00,95208514-3,75524136-0,1,si,no,1
97,2025-04-23 12:30:00,22767738-4,51192824-9,1,si,no,1
98,2025-04-23 10:45:00,73177104-4,51192824-9,1,no,no,0
99,2025-04-18 08:30:00,86209409-0,83332889-3,1,si,no,1
100,2025-04-06 17:30:00,22767738-4,75524136-0,2,no,no,1
101,2025-04-07 08:45:00,95208514-3,21784166-4,1,no,no,1
102,2025-04-11 13:15:00,86209409-0,83332889-3,1,si,no,1
103,2025-04-18 12:30:00,22767738-4,83332889-3,1,si,no,1
104,2025-04-23 10:45:00,86209409-0,21784166-4,1,si,no,0
105,2025-04-11 13:30:00,73177104-4,30387339-7,2,no,no,0
106,2025-04-08 18:00:00,73177104-4,30387339-7,1,si,no,0
107,2025-04-22 13:15:00,95208514-3,51192824-9,1,si,no,0
108,2025-04-10 10:30:00,95208514-3,30387339-7,1,no,no,1
109,2025-04-29 08:30:00,22767738-4,37899207-9,2,no,no,1
110,2025-04-13 13:45:00,94023614-4,83332889-3,1,si,no,0
111,2025-04-19 09:00:00,57378727-6,83332889-3,1,si,no,1
112,2025-04-20 13:45:00,73177104-4,83332889-3,1,no,no,1
113,2025-04-23 15:15:00,57378727-6,21784166-4,1,si,no,0
114,2025-04-05 17:15:00,95208514-3,16394885-1,1,si,no,1
115,2025-04-18 08:45:00,86209409-0,21784166-4,1,si,no,1
116,2025-04-14 16:15:00,73177104-4,75524136-0,1,si,no,0
117,2025-04-28 14:30:00,95208514-3,21784166-4,1,no,no,1
118,2025-04-21 18:00:00,73177104-4,75524136-0,1,no,no,1
119,2025-04-29 09:30:00,86209409-0,16394885-1,1,si,no,1
120,2025-04-08 16:30:00,73177104-4,37899207-9,2,no,no,0
121,2025-04-17 09:15:00,22767738-4,16394885-1,1,si,no,1
122,2025-04-05 17:15:00,95208514-3,75524136-0,1,no,no,1
123,2025-04-03 08:30:00,86209409-0,37899207-9,2,no,no,0
124,2025-04-15 14:00:00,73177104-4,37899207-9,1,no,no,1
125,2025-04-22 08:45:00,57378727-6,21784166-4,1,no,no,0
126,2025-04-16 09:45:00,57378727-6,75524136-0,1,si,no,0
127,2025-04-12 12:30:00,86209409-0,83332889-3,1,si,no,1
128,2025-04-29 10:00:00,22767738-4,51192824-9,1,no,no,1
129,2025-04-27 10:00:00,95208514-3,16394885-1,1,no,no,1
130,2025-04-14 11:00:00,57378727-6,16394885-1,2,no,no,1
131,2025-05-01 09:00:00,73177104-4,78812540-6,2,no,no,0
132,2025-04-09 17:15:00,57378727-6,75524136-0,2,no,no,0
133,2025-04-17 09:30:00,57378727-6,30387339-7,1,si,no,1
134,2025-04-09 12:15:00,86209409-0,78812540-6,2,no,no,0
135,2025-04-22 12:15:00,22767738-4,83332889-3,2,no,no,1
136,2025-04-15 13:45:00,57378727-6,78812540-6,1,no,no,1
137,2025-04-10 17:30:00,73177104-4,75524136-0,1,si,no,0
138,2025-04-28 08:15:00,73177104-4,51192824-9,2,no,no,1
139,2025-04-07 11:15:00,57378727-6,78812540-6,1,no,no,0
140,2025-04-20 08:30:00,95208514-3,16394885-1,1,si,no,1
141,2025-04-26 15:00:00,57378727-6,37899207-9,2,no,no,0
142,2025-04-30 08:30:00,73177104-4,21784166-4,1,si,no,1
143,2025-04-13 08:15:00,57378727-6,21784166-4,1,no,no,0
144,2025-04-04 13:45:00,94023614-4,30387339-7,2,no,no,0
145,2025-04-16 09:45:00,73177104-4,75524136-0,2,no,no,1
146,2025-04-12 09:15:00,94023614-4,21784166-4,1,si,no,0
147,2025-04-03 17:45:00,95208514-3,37899207-9,2,no,no,0
148,2025-04-04 08:45:00,95208514-3,16394885-1,1,si,no,0
149,2025-04-07 14:30:00,57378727-6,37899207-9,1,no,no,0
150,2025-04-20 11:00:00,95208514-3,21784166-4,1,si,no,0
151,2025-04-30 08:15:00,22767738-4,21784166-4,1,no,no,1
152,2025-04-25 09:15:00,95208514-3,78812540-6,2,no,no,0
153,2025-04-17 17:15:00,95208514-3,83332889-3,1,no,no,1
154,2025-04-02 10:30:00,57378727-6,30387339-7,1,no,no,0
155,2025-04-25 10:30:00,94023614-4,30387339-7,1,si,no,0
156,2025-04-27 16:15:00,57378727-6,78812540-6,1,no,no,1
157,2025-04-10 09:15:00,57378727-6,37899207-9,2,no,no,0
158,2025-04-09 11:15:00,86209409-0,83332889-3,1,si,no,1
159,2025-04-22 14:30:00,57378727-6,83332889-3,1,si,no,1
160,2025-04-06 10:45:00,86209409-0,51192824-9,1,no,no,0
161,2025-04-19 16:15:00,94023614-4,78812540-6,1,no,no,0
162,2025-04-19 16:30:00,22767738-4,37899207-9,1,no,no,0
163,2025-04-14 18:45:00,73177104-4,37899207-9,2,no,no,1
164,2025-04-20 08:15:00,95208514-3,78812540-6,1,no,no,0
165,2025-04-09 12:45:00,73177104-4,30387339-7,1,si,no,1
166,2025-04-20 12:45:00,57378727-6,75524136-0,1,no,no,0
167,2025-04-19 18:30:00,86209409-0,83332889-3,1,si,no,0
168,2025-04-17 16:45:00,94023614-4,51192824-9,1,si,no,1
169,2025-04-15 13:00:00,22767738-4,30387339-7,2,no,no,1
170,2025-04-08 17:15:00,57378727-6,37899207-9,1,si,no,1
171,2025-04-05 10:30:00,22767738-4,83332889-3,1,no,no,0
172,2025-04-07 10:15:00,95208514-3,21784166-4,1,si,no,0
173,2025-04-17 18:30:00,95208514-3,51192824-9,1,si,no,0
174,2025-04-27 13:15:00,86209409-0,16394885-1,1,si,no,1
175,2025-04-13 08:30:00,86209409-0,83332889-3,1,si,no,0
176,2025-04-04 17:45:00,22767738-4,30387339-7,1,si,no,0
177,2025-04-21 10:45:00,95208514-3,83332889-3,2,no,no,0
178,2025-04-23 15:00:00,86209409-0,37899207-9,1,no,no,0
179,2025-04-20 10:45:00,86209409-0,78812540-6,1,si,no,0
180,2025-04-15 12:15:00,22767738-4,30387339-7,1,si,no,1
181,2025-04-28 10:30:00,86209409-0,83332889-3,1,si,no,1
182,2025-04-13 10:45:00,73177104-4,21784166-4,2,no,no,2
183,2025-04-21 17:15:00,57378727-6,51192824-9,2,no,no,0
184,2025-04-29 15:15:00,57378727-6,78812540-6,1,si,no,0
185,2025-04-25 14:15:00,95208514-3,83332889-3,1,si,no,1
186,2025-04-15 09:45:00,22767738-4,83332889-3,1,no,no,2
187,2025-04-26 08:45:00,86209409-0,37899207-9,1,si,no,1
188,2025-04-30 10:15:00,95208514-3,21784166-4,1,si,no,0
189,2025-04-17 14:45:00,73177104-4,78812540-6,2,no,no,0
190,2025-04-05 12:30:00,22767738-4,16394885-1,1,si,no,1
191,2025-04-26 09:45:00,73177104-4,75524136-0,1,no,no,1
192,2025-04-20 17:00:00,95208514-3,51192824-9,2,no,no,1
193,2025-04-11 12:15:00,73177104-4,83332889-3,2,no,no,1
194,2025-04-18 18:30:00,22767738-4,30387339-7,2,no,no,1
195,2025-04-24 12:30:00,22767738-4,75524136-0,1,no,no,1
196,2025-04-23 18:15:00,73177104-4,37899207-9,1,no,no,0
197,2025-04-08 17:45:00,95208514-3,78812540-6,2,no,no,1
198,2025-04-07 11:45:00,94023614-4,21784166-4,2,no,no,1
199,2025-04-06 16:30:00,94023614-4,78812540-6,1,si,no,1
200,2025-04-14 12:30:00,95208514-3,21784166-4,1,si,no,0
201,2025-04-11 14:45:00,22767738-4,16394885-1,2,no,no,0
202,2025-04-09 14:30:00,95208514-3,21784166-4,1,si,no,0
203,2025-04-02 12:00:00,86209409-0,51192824-9,2,no,no,2
204,2025-04-10 18:45:00,95208514-3,83332889-3,1,no,no,1
205,2025-04-25 15:15:00,73177104-4,30387339-7,1,no,no,1
206,2025-04-13 12:00:00,22767738-4,16394885-1,2,no,no,0
207,2025-04-25 16:15:00,73177104-4,83332889-3,1,si,no,0
208,2025-04-02 16:15:00,57378727-6,83332889-3,2,no,no,0
209,2025-04-19 17:30:00,95208514-3,75524136-0,1,no,no,0
210,2025-04-15 09:00:00,22767738-4,30387339-7,2,no,no,0
211,2025-04-12 12:45:00,86209409-0,30387339-7,1,si,no,1
212,2025-05-01 09:45:00,86209409-0,75524136-0,1,si,no,1
213,2025-04-26 18:30:00,86209409-0,16394885-1,1,no,no,1
214,2025-04-18 17:15:00,95208514-3,75524136-0,2,no,no,1
215,2025-04-11 17:00:00,94023614-4,16394885-1,1,no,no,1
216,2025-04-18 16:30:00,57378727-6,37899207-9,2,no,no,0
217,2025-04-27 10:45:00,22767738-4,30387339-7,1,no,no,0
218,2025-04-13 18:00:00,94023614-4,78812540-6,1,si,no,0
219,2025-04-04 18:00:00,73177104-4,83332889-3,1,no,no,1
220,2025-04-11 13:15:00,94023614-4,83332889-3,1,si,no,1
221,2025-04-15 16:00:00,95208514-3,16394885-1,1,si,no,0
222,2025-04-10 14:00:00,86209409-0,78812540-6,2,no,no,0
223,2025-04-14 14:45:00,22767738-4,51192824-9,2,no,no,1
224,2025-04-10 14:30:00,86209409-0,51192824-9,1,no,no,1
225,2025-04-04 18:00:00,86209409-0,37899207-9,2,no,no,0
226,2025-04-29 17:45:00,22767738-4,51192824-9,1,no,no,1
227,2025-04-13 13:30:00,73177104-4,21784166-4,1,no,no,1
228,2025-04-28 16:45:00,86209409-0,51192824-9,1,si,no,0
229,2025-04-09 16:45:00,94023614-4,16394885-1,1,si,no,1
230,2025-04-15 10:00:00,57378727-6,37899207-9,2,no,no,0
231,2025-04-06 13:15:00,86209409-0,30387339-7,1,si,no,1
232,2025-04-06 18:00:00,94023614-4,21784166-4,1,no,no,1
233,2025-04-15 18:15:00,22767738-4,37899207-9,1,si,no,0
234,2025-05-01 09:30:00,95208514-3,78812540-6,2,no,no,0
235,2025-04-19 08:30:00,73177104-4,51192824-9,1,no,no,1
236,2025-04-17 08:30:00,86209409-0,51192824-9,1,si,no,0
237,2025-04-06 17:45:00,95208514-3,30387339-7,1,no,no,1
238,2025-04-16 09:00:00,94023614-4,83332889-3,2,no,no,1
239,2025-04-07 09:30:00,73177104-4,78812540-6,2,no,no,1
240,2025-04-05 10:45:00,95208514-3,30387339-7,2,no,no,0
241,2025-04-19 09:45:00,57378727-6,78812540-6,1,si,no,1
242,2025-04-23 12:15:00,95208514-3,21784166-4,1,si,no,0
243,2025-04-11 13:45:00,73177104-4,78812540-6,2,no,no,1
244,2025-04-07 14:00:00,22767738-4,30387339-7,1,si,no,0
245,2025-04-05 08:15:00,86209409-0,37899207-9,1,si,no,0
246,2025-04-21 14:30:00,57378727-6,75524136-0,1,si,no,0
247,2025-04-04 08:00:00,57378727-6,30387339-7,1,si,no,2
248,2025-04-20 11:30:00,94023614-4,30387339-7,1,no,no,1
249,2025-04-13 18:45:00,22767738-4,37899207-9,1,no,no,1
250,2025-04-23 15:30:00,95208514-3,83332889-3,2,no,no,1
251,2025-04-17 13:45:00,73177104-4,21784166-4,1,no,no,1
252,2025-04-03 12:00:00,22767738-4,30387339-7,1,si,no,0
253,2025-04-24 13:15:00,57378727-6,78812540-6,1,si,no,1
254,2025-04-14 12:30:00,22767738-4,51192824-9,1,no,no,0
255,2025-04-25 16:30:00,22767738-4,16394885-1,1,si,no,1
256,2025-04-28 13:30:00,57378727-6,16394885-1,1,no,no,0
257,2025-04-29 11:45:00,57378727-6,78812540-6,2,no,no,0
258,2025-04-05 18:30:00,94023614-4,83332889-3,2,no,no,1
259,2025-04-06 16:45:00,57378727-6,51192824-9,1,si,no,1
260,2025-04-23 12:15:00,95208514-3,75524136-0,2,no,no,1
261,2025-04-14 14:30:00,95208514-3,21784166-4,1,no,no,0
262,2025-04-14 12:45:00,22767738-4,83332889-3,2,no,no,1
263,2025-04-11 11:45:00,86209409-0,37899207-9,1,si,no,0
264,2025-04-09 16:00:00,86209409-0,78812540-6,2,no,no,1
265,2025-04-14 09:15:00,57378727-6,51192824-9,1,no,no,2
266,2025-04-05 08:00:00,86209409-0,30387339-7,2,no,no,1
267,2025-04-02 18:30:00,86209409-0,51192824-9,1,si,no,1
268,2025-04-03 16:00:00,95208514-3,21784166-4,2,no,no,0
269,2025-04-10 10:15:00,57378727-6,21784166-4,2,no,no,0
270,2025-04-08 13:45:00,73177104-4,37899207-9,1,si,no,0
271,2025-04-07 08:30:00,95208514-3,75524136-0,1,si,no,0
272,2025-04-06 11:30:00,95208514-3,51192824-9,2,no,no,0
273,2025-04-21 15:30:00,95208514-3,51192824-9,2,no,no,1
274,2025-04-05 14:45:00,73177104-4,30387339-7,2,no,no,1
275,2025-04-13 09:45:00,57378727-6,30387339-7,1,no,no,1
276,2025-04-24 14:45:00,86209409-0,83332889-3,1,si,no,1
277,2025-04-09 11:45:00,94023614-4,21784166-4,1,no,no,1
278,2025-04-05 10:45:00,86209409-0,21784166-4,2,no,no,1
279,2025-04-16 11:30:00,57378727-6,37899207-9,1,no,no,0
280,2025-04-24 09:30:00,95208514-3,78812540-6,1,no,no,0
281,2025-04-24 18:45:00,86209409-0,21784166-4,1,si,no,0
282,2025-04-24 08:45:00,73177104-4,37899207-9,1,si,no,0
283,2025-04-20 12:15:00,22767738-4,78812540-6,2,no,no,1
284,2025-04-24 09:00:00,94023614-4,30387339-7,2,no,no,0
285,2025-04-24 09:45:00,95208514-3,30387339-7,1,no,no,0
286,2025-04-21 15:45:00,95208514-3,30387339-7,1,no,no,0
287,2025-04-09 12:45:00,57378727-6,16394885-1,2,no,no,0
288,2025-04-08 17:15:00,86209409-0,51192824-9,1,no,no,1
289,2025-04-23 16:15:00,22767738-4,75524136-0,1,si,no,0
290,2025-04-29 18:00:00,95208514-3,30387339-7,1,si,no,0
291,2025-04-05 12:45:00,95208514-3,51192824-9,1,si,no,2
292,2025-04-28 12:30:00,94023614-4,16394885-1,1,si,no,1
293,2025-04-18 11:00:00,95208514-3,51192824-9,2,no,no,0
294,2025-04-04 16:15:00,94023614-4,16394885-1,1,no,no,1
295,2025-04-11 12:15:00,22767738-4,30387339-7,1,no,no,1
296,2025-04-25 16:30:00,94023614-4,30387339-7,1,no,no,1
297,2025-04-04 14:00:00,22767738-4,21784166-4,2,no,no,1
298,2025-04-04 09:15:00,86209409-0,21784166-4,1,no,no,0
299,2025-04-12 18:30:00,94023614-4,16394885-1,1,no,no,1
300,2025-04-30 14:00:00,57378727-6,21784166-4,2,no,no,1
301,2025-04-21 14:45:00,73177104-4,83332889-3,1,si,no,0
302,2025-04-10 16:30:00,94023614-4,83332889-3,2,no,no,1
303,2025-04-11 16:45:00,22767738-4,83332889-3,1,no,no,1
304,2025-04-20 12:00:00,94023614-4,83332889-3,2,no,no,1
305,2025-04-29 17:30:00,22767738-4,78812540-6,2,no,no,1
306,2025-04-10 12:45:00,86209409-0,16394885-1,2,no,no,1
307,2025-04-23 09:30:00,94023614-4,37899207-9,1,si,no,0
308,2025-04-04 13:45:00,94023614-4,21784166-4,1,no,no,0
309,2025-04-10 16:30:00,57378727-6,37899207-9,1,no,no,0
310,2025-04-24 08:00:00,86209409-0,75524136-0,1,si,no,1
311,2025-04-18 09:00:00,86209409-0,16394885-1,1,no,no,0
312,2025-04-26 08:30:00,86209409-0,51192824-9,2,no,no,0
313,2025-04-27 18:00:00,73177104-4,83332889-3,1,no,no,0
314,2025-04-30 09:45:00,73177104-4,16394885-1,2,no,no,1
315,2025-04-27 14:15:00,94023614-4,30387339-7,2,no,no,1
316,2025-04-19 12:45:00,57378727-6,83332889-3,2,no,no,0
317,2025-04-26 16:30:00,73177104-4,83332889-3,1,si,no,1
318,2025-04-23 13:15:00,86209409-0,37899207-9,1,si,no,1
319,2025-04-18 15:00:00,95208514-3,83332889-3,2,no,no,1
320,2025-04-12 09:00:00,86209409-0,37899207-9,1,no,no,0
321,2025-04-27 13:00:00,57378727-6,30387339-7,1,no,no,0
322,2025-04-29 15:45:00,57378727-6,51192824-9,1,no,no,0
323,2025-04-02 18:30:00,22767738-4,16394885-1,1,si,no,1
324,2025-04-14 15:00:00,94023614-4,37899207-9,2,no,no,1
325,2025-04-25 09:30:00,94023614-4,83332889-3,1,si,no,1
326,2025-04-06 18:00:00,22767738-4,83332889-3,1,si,no,0
327,2025-04-16 16:15:00,22767738-4,30387339-7,1,no,no,1
328,2025-04-09 15:00:00,22767738-4,78812540-6,1,no,no,1
329,2025-04-13 11:30:00,86209409-0,83332889-3,1,no,no,1
330,2025-04-10 18:15:00,22767738-4,78812540-6,2,no,no,0
331,2025-04-25 12:45:00,86209409-0,83332889-3,1,no,no,1
332,2025-04-11 14:00:00,57378727-6,75524136-0,1,si,no,0
333,2025-04-21 17:15:00,57378727-6,51192824-9,1,no,no,0
334,2025-04-14 12:45:00,22767738-4,51192824-9,1,si,no,0
335,2025-04-13 12:45:00,95208514-3,75524136-0,1,si,no,0
336,2025-04-21 16:45:00,22767738-4,21784166-4,1,si,no,0
337,2025-04-28 15:15:00,57378727-6,78812540-6,1,si,no,1
338,2025-04-09 18:30:00,22767738-4,37899207-9,1,si,no,1
339,2025-04-14 10:30:00,94023614-4,37899207-9,1,no,no,1
340,2025-04-14 10:30:00,73177104-4,75524136-0,2,no,no,0
341,2025-04-02 11:00:00,73177104-4,16394885-1,1,si,no,0
342,2025-04-26 17:45:00,94023614-4,21784166-4,1,si,no,1
343,2025-04-05 12:30:00,95208514-3,78812540-6,1,no,no,0
344,2025-04-05 12:00:00,95208514-3,37899207-9,1,si,no,1
345,2025-04-03 16:30:00,94023614-4,83332889-3,1,no,no,1
346,2025-04-17 11:00:00,86209409-0,16394885-1,1,si,no,0
347,2025-04-15 15:45:00,22767738-4,83332889-3,1,no,no,1
348,2025-04-14 17:00:00,95208514-3,75524136-0,1,si,no,1
349,2025-04-13 10:30:00,95208514-3,75524136-0,1,no,no,1
350,2025-04-23 14:00:00,57378727-6,21784166-4,2,no,no,0
351,2025-05-01 08:15:00,57378727-6,51192824-9,1,no,no,1
352,2025-04-26 08:30:00,95208514-3,83332889-3,2,no,no,1
353,2025-04-06 09:00:00,94023614-4,83332889-3,1,no,no,2
354,2025-04-26 16:15:00,95208514-3,30387339-7,2,no,no,1
355,2025-04-10 13:30:00,22767738-4,21784166-4,2,no,no,1
356,2025-04-27 17:00:00,86209409-0,30387339-7,1,si,no,0
357,2025-04-21 11:00:00,73177104-4,78812540-6,2,no,no,1
358,2025-04-03 08:00:00,22767738-4,21784166-4,1,no,no,0
359,2025-04-06 12:15:00,94023614-4,78812540-6,2,no,no,0
360,2025-04-05 10:30:00,86209409-0,30387339-7,2,no,no,0
361,2025-04-21 12:30:00,95208514-3,16394885-1,1,no,no,2
362,2025-04-28 11:15:00,95208514-3,37899207-9,1,no,no,1
363,2025-04-10 15:00:00,22767738-4,30387339-7,1,si,no,1
364,2025-04-15 18:15:00,73177104-4,83332889-3,1,si,no,1
365,2025-04-30 11:45:00,94023614-4,83332889-3,1,si,no,1
366,2025-04-06 08:15:00,57378727-6,78812540-6,2,no,no,0
367,2025-04-16 16:15:00,95208514-3,16394885-1,1,no,no,1
368,2025-04-03 15:30:00,73177104-4,78812540-6,2,no,no,0
369,2025-04-03 14:45:00,22767738-4,37899207-9,2,no,no,1
370,2025-04-03 11:15:00,94023614-4,83332889-3,1,si,no,0
371,2025-04-30 18:45:00,22767738-4,75524136-0,1,no,no,1
372,2025-04-09 18:00:00,95208514-3,75524136-0,1,si,no,0
373,2025-04-12 08:30:00,57378727-6,78812540-6,2,no,no,0
374,2025-04-13 10:30:00,73177104-4,37899207-9,1,si,no,0
375,2025-04-23 13:15:00,73177104-4,51192824-9,1,si,no,1
376,2025-04-02 11:00:00,57378727-6,51192824-9,2,no,no,1
377,2025-04-30 08:30:00,94023614-4,83332889-3,2,no,no,1
378,2025-04-14 10:30:00,22767738-4,21784166-4,2,no,no,1
379,2025-04-24 12:30:00,86209409-0,37899207-9,1,no,no,0
380,2025-04-12 09:45:00,57378727-6,30387339-7,1,si,no,1
381,2025-04-04 17:45:00,22767738-4,51192824-9,1,si,no,1
382,2025-04-16 09:45:00,95208514-3,37899207-9,1,si,no,0
383,2025-04-11 08:45:00,94023614-4,51192824-9,2,no,no,0
384,2025-04-09 17:45:00,73177104-4,75524136-0,1,no,no,1
385,2025-04-20 12:45:00,57378727-6,75524136-0,1,si,no,0
386,2025-04-27 15:15:00,94023614-4,16394885-1,2,no,no,0
387,2025-04-04 10:00:00,22767738-4,30387339-7,1,no,no,1
388,2025-04-16 11:00:00,73177104-4,51192824-9,1,no,no,0
389,2025-04-16 16:45:00,73177104-4,37899207-9,1,si,no,1
390,2025-04-24 09:00:00,22767738-4,37899207-9,2,no,no,2
391,2025-04-26 14:15:00,22767738-4,30387339-7,2,no,no,1
392,2025-04-04 10:15:00,22767738-4,16394885-1,2,no,no,0
393,2025-04-09 18:30:00,94023614-4,78812540-6,2,no,no,1
394,2025-04-11 11:30:00,95208514-3,83332889-3,1,si,no,0
395,2025-04-29 13:30:00,57378727-6,83332889-3,1,si,no,0
396,2025-04-22 14:00:00,57378727-6,78812540-6,2,no,no,0
397,2025-04-20 14:00:00,57378727-6,21784166-4,1,si,no,0
398,2025-04-26 17:00:00,86209409-0,16394885-1,1,si,no,1
