id_hora,rut_paciente,estado,id_contacto,id_procedimiento,apoyo
3285,40884415-9,0,2698,10,No
2889,48263743-9,0,1731,9,No
2333,39145977-2,3,3432,5,86209409-0
2141,23124705-7,4,2358,13,22767738-4
558,14100953-3,0,3400,5,95208514-3
1972,70414825-8,0,548,14,No
634,45623694-9,1,1062,10,No
1321,19805123-3,4,3177,3,No
2156,22769853-9,1,806,3,No
1466,96998252-1,0,1340,14,No
2646,64355233-5,1,1453,14,No
1603,91096368-2,1,3572,5,22767738-4
1340,32818392-4,4,1655,4,95208514-3
3059,24735893-2,0,1272,13,73177104-4
1497,88755903-1,0,1676,12,No
2626,30263166-2,4,2134,7,No
890,27470077-6,0,1257,9,No
1456,85033698-2,1,257,12,86209409-0
1544,63958627-0,3,352,10,No
3482,95431346-9,0,1664,5,No
2547,16226259-9,3,2386,1,No
3611,34310135-9,3,2993,16,No
3540,44722314-7,4,1379,6,No
2663,86332222-2,4,797,8,No
3154,21509837-2,1,2592,14,86209409-0
476,95595189-5,1,427,3,No
796,59604556-2,4,3094,16,No
3031,94761985-0,0,3513,13,57378727-6
3164,50692374-0,0,1929,8,95208514-3
197,55643376-9,0,1862,10,No
2500,46930558-3,1,356,10,No
1594,98720208-3,1,2622,9,73177104-4
1661,50672725-4,1,420,14,No
2226,12031991-9,3,3523,6,No
663,44722314-7,4,1741,3,22767738-4
2643,12802093-1,1,3227,4,95208514-3
1017,41416859-6,3,2752,16,No
1304,12120279-7,3,2791,4,No
1297,40884415-9,3,2859,9,No
909,52872009-7,4,1789,14,No
249,30310762-2,0,2584,8,22767738-4
196,41710986-9,3,2398,10,No
2529,95838628-5,3,163,5,94023614-4
258,90942860-9,3,60,13,No
3445,32340622-6,0,1307,6,94023614-4
42,47192537-4,3,2344,12,No
2605,77121423-7,4,3549,7,95208514-3
1951,29519188-7,0,2982,6,73177104-4
1128,48411300-7,1,1105,2,No
1519,22212788-6,4,2020,14,94023614-4
1576,12031991-9,0,1990,11,No
3081,25939458-6,4,1735,14,22767738-4
2079,40884415-9,1,3265,14,86209409-0
2137,62237414-5,3,333,12,No
2032,67384344-0,3,600,13,No
1757,14875579-3,1,2675,3,22767738-4
110,16251209-1,0,1399,11,No
1494,72424451-8,1,2803,10,86209409-0
2635,60775663-1,1,892,12,No
1538,48322668-8,0,682,12,57378727-6
2749,70026603-3,0,1066,13,94023614-4
2102,98720208-3,3,1171,15,No
3330,90206203-1,4,597,2,94023614-4
136,78671018-8,4,2387,6,No
996,11981843-5,3,3451,14,73177104-4
999,69145853-7,4,915,11,No
1728,19805123-3,1,3655,6,No
238,79018541-2,4,2647,9,73177104-4
1675,75006543-8,1,3123,9,No
2043,49291952-0,3,1932,4,No
1451,94761985-0,4,1217,8,No
3336,55790193-3,3,836,12,No
598,51072055-5,1,3083,7,No
798,70026603-3,3,2795,1,No
2735,45623694-9,0,592,13,No
2910,22212788-6,0,3363,4,No
1124,91096368-2,3,2304,12,No
83,14540200-5,4,2614,9,No
2094,97372190-1,0,1082,15,22767738-4
866,27075358-5,4,1072,9,86209409-0
2768,37035246-9,3,3323,1,No
695,78943450-5,1,1853,5,73177104-4
543,51263568-1,0,1615,10,No
3578,96998252-1,3,2336,14,No
3061,55539940-3,1,3441,15,95208514-3
132,48863238-8,0,1167,5,No
725,25422399-6,1,1141,2,22767738-4
2128,65012894-9,4,680,5,No
3070,92670172-1,3,3245,1,No
2945,31462078-5,1,790,4,No
2533,68316971-1,1,1030,16,94023614-4
2160,19805123-3,4,411,14,No
3314,94361312-4,1,3309,10,73177104-4
1639,95010809-6,3,2145,6,22767738-4
3030,53375085-5,1,772,15,57378727-6
1776,12802093-1,1,2212,13,No
2530,65999494-0,1,3129,3,86209409-0
3289,44920115-1,1,2639,1,No
1865,66594934-8,1,1441,1,No
3525,77121423-7,1,1457,1,No
2838,65999494-0,1,2147,14,86209409-0
2027,67260949-6,3,1086,13,73177104-4
2424,72795772-4,4,671,14,No
1916,11592484-9,1,3421,2,86209409-0
3630,87751822-9,1,245,13,22767738-4
2989,23572980-4,4,3548,8,22767738-4
1942,40484874-8,0,1400,7,No
2936,20272755-6,0,481,11,No
2054,67384344-0,1,3407,13,No
1165,65012894-9,3,2981,13,No
1459,20114723-0,1,3078,2,No
3292,42856973-7,3,2626,1,No
2118,12031991-9,0,3028,15,No
248,49291952-0,1,954,1,No
2867,25811298-1,4,1547,12,94023614-4
2949,21774192-3,3,3360,6,86209409-0
1759,36809677-6,3,1900,8,No
2402,24735893-2,1,3077,1,No
1598,59765653-7,3,1108,15,95208514-3
2081,75563674-2,4,3298,15,57378727-6
484,87997004-2,0,3544,15,73177104-4
3250,39145977-2,3,1863,10,22767738-4
1484,56565081-1,4,202,6,57378727-6
3262,33791677-0,3,315,7,86209409-0
129,21774192-3,0,3105,7,No
1760,75833080-6,4,2059,13,86209409-0
3383,12802093-1,0,1968,6,95208514-3
1196,55539940-3,1,793,16,No
3668,59604556-2,0,1567,3,No
3341,41710986-9,4,3114,7,57378727-6
3420,49197992-8,0,1873,6,94023614-4
2832,87722745-4,3,2243,4,95208514-3
1974,13087595-1,3,1963,1,No
3060,36809677-6,3,1383,16,No
1018,14100953-3,3,1607,12,95208514-3
2819,62903851-4,0,1426,9,No
2288,43024906-8,1,3566,12,No
2016,70026603-3,3,1890,3,86209409-0
2179,90206203-1,3,1129,15,No
569,24595395-3,3,1910,7,No
2537,12429516-4,4,2023,14,No
1543,93827792-4,4,2171,7,94023614-4
2183,65310865-3,0,30,3,57378727-6
2443,53039267-4,4,739,16,73177104-4
777,20940665-3,4,16,10,95208514-3
1923,27075358-5,4,2580,12,22767738-4
3612,36809677-6,4,687,9,No
2743,20272755-6,3,2535,5,No
3475,86853828-8,4,3657,3,No
1136,60775663-1,3,1524,9,73177104-4
892,47192537-4,0,3079,12,22767738-4
1493,64744316-9,0,1011,10,73177104-4
3187,92670172-1,3,664,4,86209409-0
2505,13560469-0,3,2685,4,No
1144,16625683-2,0,2853,15,No
3623,34310135-9,3,2461,15,57378727-6
501,72222830-6,0,327,9,94023614-4
182,21509837-2,0,3234,2,No
2124,57891601-9,4,3036,15,95208514-3
2916,36809677-6,1,147,12,86209409-0
3166,87722745-4,0,718,15,No
1421,78678453-4,0,2768,14,73177104-4
814,50692374-0,1,2007,13,No
2284,90160627-1,3,535,9,22767738-4
1643,30310762-2,3,2442,4,No
3135,87722745-4,0,2940,3,73177104-4
1720,35405564-1,1,649,16,No
1784,98418033-8,1,2307,5,No
2848,65484630-3,3,2960,16,No
3309,69482795-6,3,1112,5,22767738-4
2883,66594934-8,1,1713,9,No
858,38867100-7,0,702,6,94023614-4
2220,65310865-3,0,1684,9,No
2425,12802093-1,0,773,13,73177104-4
662,66264861-2,0,1960,16,95208514-3
2229,14100953-3,0,3208,8,73177104-4
3406,34310135-9,1,1639,10,94023614-4
2247,90889318-2,0,653,16,No
1768,80061523-7,0,3483,10,95208514-3
2399,53699466-8,1,2641,2,No
3072,80062558-9,1,159,12,No
2630,77121423-7,3,3334,3,94023614-4
166,55539940-3,3,1100,16,No
957,96998252-1,4,2482,14,No
1502,47192537-4,4,760,16,No
2563,23788335-3,0,2742,4,57378727-6
2979,35405564-1,1,2854,8,94023614-4
3268,48863238-8,0,2077,8,No
2786,48322668-8,3,40,12,94023614-4
2622,65012894-9,4,3048,16,No
894,58719444-0,0,2780,1,No
2015,78093216-6,3,406,15,No
1275,91096368-2,0,2315,8,No
1875,43024906-8,4,3371,3,No
3602,21870177-9,1,572,4,94023614-4
3357,51072055-5,3,298,4,57378727-6
1002,96253618-2,1,3614,16,73177104-4
473,58719444-0,3,1051,2,No
3058,64744316-9,3,1478,6,94023614-4
1176,41710986-9,1,390,5,95208514-3
3313,90438698-1,1,3179,1,No
1126,93827792-4,0,3644,3,No
1014,65660643-5,1,3018,12,No
1135,49197992-8,1,561,2,94023614-4
1566,41710986-9,0,1009,10,No
323,64355233-5,1,2692,4,No
2852,98967597-1,3,2560,5,No
3542,59765653-7,1,973,5,No
2058,62237414-5,4,72,8,94023614-4
3039,14540200-5,4,2259,2,No
293,43024906-8,1,1390,15,No
2915,92670172-1,4,1845,6,No
2842,28592060-1,3,1967,4,No
1659,25422399-6,0,157,13,95208514-3
1482,43024906-8,4,99,9,No
2396,87997004-2,4,2825,16,73177104-4
2268,84295710-6,4,3087,15,86209409-0
1024,19557494-0,0,1559,3,86209409-0
1864,86190085-8,4,3418,1,No
627,98418033-8,3,1942,2,No
3014,30716561-0,3,232,14,22767738-4
948,46367453-0,3,3297,12,No
3376,37602034-5,3,2652,6,57378727-6
310,50692374-0,4,1323,15,No
993,49190437-8,4,2947,15,57378727-6
1095,80061523-7,3,568,14,95208514-3
1369,88755903-1,0,522,10,No
2722,32090021-3,4,2205,3,95208514-3
1629,55223444-3,0,2148,6,86209409-0
3488,29962868-0,4,1856,15,57378727-6
3380,26699972-2,3,2736,12,94023614-4
2070,63708168-9,0,2477,2,No
1255,59604556-2,4,686,1,No
2367,17091110-7,3,705,16,86209409-0
932,25939458-6,1,1397,6,No
2439,70812597-6,3,1550,9,73177104-4
970,78093216-6,3,550,4,No
138,55322795-0,0,2339,15,57378727-6
1904,94152364-3,4,2574,12,No
3112,59765653-7,1,1961,6,No
1066,99921909-4,4,1698,4,22767738-4
974,78803927-1,0,2146,9,95208514-3
2060,37640277-4,3,1446,8,No
819,92670172-1,4,382,2,No
1779,64355233-5,0,2395,6,No
1234,25422399-6,4,2674,16,94023614-4
1186,91766615-6,3,1090,7,57378727-6
1583,44920115-1,0,1407,15,57378727-6
120,32340622-6,0,1262,9,94023614-4
2857,53039267-4,4,3599,5,86209409-0
1947,77724461-4,3,2729,5,95208514-3
430,51009521-0,1,1060,11,No
2444,31950796-6,3,872,16,No
2379,48863238-8,3,634,13,57378727-6
302,42856973-7,3,2289,14,No
2429,83733104-2,0,332,11,No
742,84638972-5,0,2436,5,No
1210,55643376-9,0,882,6,94023614-4
1982,45955017-8,1,3526,15,No
1282,69482795-6,4,1566,3,No
855,37035246-9,3,2924,4,57378727-6
441,15869307-3,1,809,15,95208514-3
1461,90942860-9,1,2120,14,95208514-3
2511,33791677-0,0,1406,14,95208514-3
2860,74402817-6,1,1694,2,73177104-4
1102,64355233-5,1,881,2,57378727-6
3264,55643376-9,0,2579,8,57378727-6
2644,62614900-0,0,1393,2,86209409-0
3674,19805123-3,0,90,10,No
719,43959822-2,1,1486,8,73177104-4
3109,48115949-8,3,1330,16,95208514-3
827,52872009-7,3,965,12,57378727-6
3350,20272755-6,3,2784,14,No
253,68316971-1,0,3509,8,86209409-0
427,29962868-0,3,775,3,No
3552,25422399-6,1,579,2,No
668,23788335-3,0,2896,10,No
21,21398093-5,4,2595,16,22767738-4
3300,21398093-5,0,343,16,No
1995,45056798-6,3,1680,2,86209409-0
3657,24554256-3,1,1354,16,No
3390,22519178-2,0,421,7,22767738-4
3076,49190437-8,4,3068,10,No
3486,12457845-7,3,1265,15,95208514-3
1430,72222830-6,1,3002,1,No
1925,93738834-2,4,2889,7,No
1822,15074844-0,3,387,11,73177104-4
2056,37640277-4,1,821,13,73177104-4
1758,31950796-6,1,379,4,No
3564,49291952-0,4,502,1,No
1742,78662663-0,1,1161,14,No
3659,57581646-4,3,3366,1,No
2811,55322795-0,1,2210,2,No
1158,25939458-6,1,1263,3,No
767,35405564-1,3,880,13,No
141,66747669-9,1,255,13,22767738-4
3223,50692374-0,1,1433,15,No
2205,78093216-6,0,2682,13,No
2410,80062558-9,0,1817,5,57378727-6
2234,32818392-4,0,1555,9,No
1800,49771636-9,3,1593,13,No
1448,27470077-6,0,2645,4,No
1266,24595395-3,4,573,13,No
45,12120279-7,3,437,7,No
2680,19557494-0,0,2973,11,95208514-3
3118,12802093-1,4,1013,5,95208514-3
2133,49291952-0,4,2106,16,73177104-4
175,16226259-9,1,1849,2,No
2143,78803927-1,4,125,13,22767738-4
3582,45846060-8,4,2776,2,22767738-4
2711,10615206-0,3,3406,6,No
2933,45846060-8,1,1993,9,No
2691,49197992-8,0,171,9,73177104-4
2653,19805123-3,0,262,14,94023614-4
3228,67384344-0,4,808,15,57378727-6
