id,id_hora,fecha_hora,via_conformado,rut_personal
54,3180,2025-04-28 15:00:00,Remoto,37899207-9
55,2393,2025-04-05 16:00:00,Presencial,37899207-9
56,615,2025-04-26 08:15:00,Presencial,30387339-7
57,124,2025-04-26 17:15:00,Remoto,95208514-3
58,362,2025-04-19 15:00:00,Presencial,94023614-4
59,3127,2025-04-22 12:00:00,Remoto,51192824-9
60,258,2025-04-30 09:15:00,Presencial,86209409-0
61,1652,2025-04-17 16:15:00,Presencial,83332889-3
62,601,2025-04-25 17:15:00,Remoto,51192824-9
63,648,2025-04-05 17:15:00,Presencial,86209409-0
64,1407,2025-04-29 18:30:00,Remoto,37899207-9
65,900,2025-04-14 10:15:00,Remoto,94023614-4
66,3307,2025-04-17 11:00:00,Remoto,37899207-9
67,1419,2025-04-03 13:45:00,Presencial,37899207-9
68,3593,2025-04-20 14:30:00,Presencial,22767738-4
69,2976,2025-04-23 17:00:00,Presencial,22767738-4
70,1516,2025-04-02 17:00:00,Presencial,78812540-6
71,60,2025-04-11 15:00:00,Remoto,51192824-9
72,2058,2025-04-23 12:45:00,Remoto,21784166-4
73,726,2025-04-27 16:30:00,Remoto,37899207-9
74,407,2025-04-22 14:15:00,Remoto,51192824-9
75,1705,2025-04-05 08:30:00,Presencial,78812540-6
76,2123,2025-04-04 18:30:00,Presencial,95208514-3
77,2489,2025-04-03 11:00:00,Remoto,83332889-3
78,1901,2025-04-29 08:45:00,Presencial,94023614-4
79,270,2025-04-16 09:15:00,Remoto,37899207-9
80,1406,2025-04-29 17:30:00,Remoto,30387339-7
81,148,2025-04-13 09:30:00,Remoto,37899207-9
82,837,2025-04-04 16:00:00,Presencial,86209409-0
83,190,2025-04-15 18:45:00,Presencial,16394885-1
84,3381,2025-04-10 11:15:00,Presencial,30387339-7
85,2170,2025-04-11 12:15:00,Presencial,95208514-3
86,1985,2025-04-16 18:00:00,Presencial,73177104-4
87,1616,2025-04-18 16:30:00,Presencial,78812540-6
88,714,2025-04-27 09:45:00,Presencial,78812540-6
89,1412,2025-04-13 11:45:00,Remoto,16394885-1
90,3674,2025-04-30 18:30:00,Remoto,83332889-3
91,537,2025-04-22 09:00:00,Remoto,78812540-6
92,2836,2025-04-26 12:30:00,Remoto,37899207-9
93,2031,2025-04-04 09:00:00,Remoto,73177104-4
94,2851,2025-04-30 09:30:00,Remoto,22767738-4
95,2448,2025-04-18 15:00:00,Remoto,75524136-0
96,672,2025-04-24 14:30:00,Remoto,51192824-9
97,2002,2025-04-19 18:30:00,Presencial,21784166-4
98,18,2025-04-29 13:45:00,Remoto,21784166-4
99,1482,2025-04-16 12:30:00,Remoto,94023614-4
100,308,2025-04-12 10:15:00,Presencial,37899207-9
101,1666,2025-04-26 17:30:00,Presencial,37899207-9
102,1487,2025-04-29 15:00:00,Presencial,83332889-3
103,3084,2025-04-19 15:15:00,Presencial,75524136-0
104,123,2025-04-21 18:15:00,Remoto,30387339-7
105,3222,2025-04-12 16:45:00,Presencial,75524136-0
106,656,2025-04-11 14:15:00,Presencial,16394885-1
107,2561,2025-04-20 11:30:00,Remoto,75524136-0
108,2257,2025-05-01 17:30:00,Presencial,22767738-4
109,2201,2025-04-08 15:00:00,Remoto,78812540-6
110,1070,2025-05-01 14:15:00,Remoto,75524136-0
111,3338,2025-04-28 11:00:00,Remoto,30387339-7
112,3019,2025-04-14 08:15:00,Remoto,21784166-4
113,3150,2025-04-26 08:15:00,Presencial,83332889-3
114,954,2025-05-01 10:45:00,Remoto,75524136-0
115,372,2025-04-25 09:00:00,Presencial,16394885-1
116,3505,2025-04-04 09:00:00,Presencial,51192824-9
117,56,2025-04-08 15:45:00,Presencial,95208514-3
118,298,2025-04-29 10:00:00,Remoto,16394885-1
119,945,2025-04-17 09:30:00,Remoto,75524136-0
120,1820,2025-04-28 12:30:00,Presencial,83332889-3
121,2581,2025-04-28 18:15:00,Remoto,73177104-4
122,2559,2025-04-09 16:15:00,Presencial,78812540-6
123,586,2025-04-15 12:30:00,Remoto,30387339-7
124,3409,2025-04-05 10:30:00,Remoto,78812540-6
125,2143,2025-04-24 18:15:00,Presencial,94023614-4
126,3462,2025-04-17 14:30:00,Presencial,16394885-1
127,1432,2025-04-03 12:15:00,Remoto,21784166-4
128,2193,2025-04-15 17:00:00,Remoto,95208514-3
129,3408,2025-04-14 14:45:00,Remoto,57378727-6
130,2125,2025-04-08 18:00:00,Remoto,94023614-4
131,1817,2025-04-08 10:45:00,Remoto,57378727-6
132,1160,2025-04-04 12:15:00,Remoto,21784166-4
133,163,2025-04-16 09:15:00,Presencial,21784166-4
134,1881,2025-04-06 09:45:00,Presencial,86209409-0
135,3231,2025-04-11 13:15:00,Presencial,83332889-3
136,3435,2025-04-05 17:30:00,Presencial,73177104-4
137,1725,2025-04-30 09:00:00,Presencial,73177104-4
138,1926,2025-04-20 14:00:00,Presencial,16394885-1
139,2548,2025-04-09 18:00:00,Presencial,22767738-4
140,2928,2025-04-26 11:15:00,Remoto,51192824-9
141,1090,2025-04-30 15:15:00,Remoto,57378727-6
142,3391,2025-04-21 10:15:00,Presencial,73177104-4
143,6,2025-04-30 16:00:00,Remoto,95208514-3
144,3335,2025-04-04 11:45:00,Presencial,86209409-0
145,2019,2025-04-14 13:30:00,Remoto,16394885-1
146,2073,2025-04-12 09:15:00,Remoto,51192824-9
147,2916,2025-04-20 16:45:00,Remoto,51192824-9
148,950,2025-04-21 16:30:00,Remoto,95208514-3
149,529,2025-04-30 18:30:00,Remoto,73177104-4
150,1409,2025-04-13 18:30:00,Presencial,95208514-3
151,3621,2025-04-22 10:30:00,Remoto,30387339-7
152,1199,2025-04-18 16:15:00,Remoto,16394885-1
153,2086,2025-04-16 14:00:00,Presencial,22767738-4
154,457,2025-04-11 12:30:00,Remoto,73177104-4
155,829,2025-04-12 13:15:00,Presencial,22767738-4
156,2669,2025-04-17 13:45:00,Presencial,21784166-4
157,1659,2025-04-22 17:00:00,Remoto,95208514-3
158,194,2025-04-21 14:30:00,Remoto,95208514-3
159,3072,2025-04-09 08:15:00,Presencial,73177104-4
160,904,2025-04-02 18:45:00,Remoto,75524136-0
161,733,2025-04-17 15:45:00,Remoto,86209409-0
162,2774,2025-04-18 18:30:00,Presencial,57378727-6
163,2529,2025-04-02 18:30:00,Remoto,73177104-4
164,1237,2025-04-07 18:15:00,Remoto,86209409-0
165,1250,2025-04-04 11:15:00,Remoto,75524136-0
166,579,2025-04-09 13:15:00,Remoto,57378727-6
167,1902,2025-04-27 09:00:00,Presencial,86209409-0
168,3266,2025-04-21 15:00:00,Presencial,51192824-9
169,1966,2025-04-10 14:45:00,Remoto,78812540-6
170,2589,2025-04-30 17:45:00,Presencial,75524136-0
171,2691,2025-04-11 09:15:00,Remoto,95208514-3
172,1668,2025-04-25 10:00:00,Remoto,21784166-4
173,1739,2025-04-03 12:45:00,Remoto,86209409-0
174,1749,2025-04-19 08:30:00,Presencial,30387339-7
175,1491,2025-04-19 08:45:00,Presencial,78812540-6
176,3388,2025-04-27 18:30:00,Remoto,75524136-0
177,64,2025-04-07 14:30:00,Presencial,21784166-4
178,1581,2025-04-13 12:15:00,Remoto,95208514-3
179,1348,2025-04-06 11:45:00,Remoto,78812540-6
180,2795,2025-04-10 14:15:00,Presencial,21784166-4
181,1072,2025-04-12 08:30:00,Presencial,83332889-3
182,3392,2025-04-15 09:00:00,Remoto,94023614-4
183,1057,2025-04-06 13:30:00,Remoto,78812540-6
184,3007,2025-04-09 12:30:00,Remoto,57378727-6
185,938,2025-04-08 17:30:00,Presencial,16394885-1
186,1268,2025-04-19 18:30:00,Presencial,51192824-9
187,1277,2025-04-30 08:45:00,Presencial,73177104-4
188,1284,2025-04-10 16:00:00,Remoto,57378727-6
189,1171,2025-04-14 12:45:00,Presencial,30387339-7
190,2509,2025-04-21 08:15:00,Remoto,75524136-0
191,3137,2025-04-17 10:30:00,Presencial,83332889-3
192,547,2025-04-24 14:00:00,Remoto,83332889-3
193,3119,2025-04-26 10:15:00,Presencial,21784166-4
194,1047,2025-04-08 13:30:00,Remoto,37899207-9
195,636,2025-04-07 13:15:00,Presencial,94023614-4
196,1602,2025-04-28 17:15:00,Presencial,75524136-0
197,459,2025-04-23 17:45:00,Remoto,57378727-6
198,995,2025-04-19 10:15:00,Remoto,83332889-3
199,81,2025-04-28 08:45:00,Presencial,30387339-7
200,2282,2025-04-17 15:00:00,Presencial,75524136-0
201,2677,2025-04-05 16:00:00,Presencial,30387339-7
202,1484,2025-04-09 12:00:00,Presencial,94023614-4
203,170,2025-04-15 13:15:00,Presencial,30387339-7
204,1777,2025-04-26 09:15:00,Presencial,86209409-0
205,352,2025-04-28 16:30:00,Presencial,22767738-4
206,1599,2025-04-30 17:15:00,Presencial,73177104-4
207,3069,2025-04-10 13:15:00,Presencial,16394885-1
208,1367,2025-04-09 15:45:00,Presencial,30387339-7
209,3080,2025-04-02 10:30:00,Presencial,22767738-4
210,1889,2025-04-13 17:45:00,Presencial,95208514-3
211,2168,2025-04-07 12:45:00,Presencial,51192824-9
212,868,2025-04-27 09:00:00,Presencial,94023614-4
213,1342,2025-04-29 15:45:00,Presencial,30387339-7
214,1326,2025-04-02 10:00:00,Remoto,16394885-1
215,3345,2025-04-12 13:45:00,Presencial,37899207-9
216,1401,2025-04-14 18:45:00,Remoto,16394885-1
217,1525,2025-04-04 18:15:00,Presencial,30387339-7
218,1908,2025-05-01 08:30:00,Remoto,95208514-3
219,2638,2025-04-07 08:30:00,Remoto,22767738-4
220,1795,2025-04-30 14:30:00,Presencial,78812540-6
221,1370,2025-04-16 17:15:00,Presencial,73177104-4
222,2272,2025-04-24 14:15:00,Presencial,30387339-7
223,1081,2025-04-07 16:00:00,Remoto,86209409-0
224,16,2025-04-14 14:30:00,Presencial,86209409-0
225,2131,2025-04-22 14:45:00,Remoto,30387339-7
226,3015,2025-04-28 15:45:00,Remoto,51192824-9
227,774,2025-05-01 10:45:00,Remoto,83332889-3
228,1895,2025-04-22 16:30:00,Presencial,94023614-4
229,677,2025-04-08 10:00:00,Remoto,83332889-3
230,3642,2025-04-26 08:45:00,Remoto,78812540-6
231,1379,2025-04-12 14:00:00,Remoto,75524136-0
232,3014,2025-04-29 08:15:00,Remoto,57378727-6
233,3431,2025-04-02 10:45:00,Remoto,78812540-6
234,2619,2025-04-29 09:30:00,Presencial,51192824-9
235,1622,2025-04-26 17:00:00,Presencial,57378727-6
236,159,2025-04-10 12:15:00,Remoto,22767738-4
237,849,2025-04-12 15:15:00,Presencial,22767738-4
238,3071,2025-04-23 17:15:00,Presencial,30387339-7
239,3570,2025-04-04 10:00:00,Presencial,37899207-9
240,3610,2025-04-15 13:00:00,Remoto,30387339-7
241,3358,2025-04-27 18:00:00,Remoto,22767738-4
242,1984,2025-04-13 18:45:00,Remoto,95208514-3
243,1303,2025-04-23 14:30:00,Remoto,21784166-4
244,3430,2025-04-19 11:45:00,Remoto,57378727-6
245,3630,2025-04-14 09:00:00,Remoto,21784166-4
246,1111,2025-04-11 09:00:00,Presencial,51192824-9
247,3302,2025-04-07 09:15:00,Presencial,57378727-6
248,1514,2025-04-06 10:00:00,Remoto,94023614-4
249,3087,2025-04-30 09:15:00,Remoto,75524136-0
250,1858,2025-04-25 15:30:00,Presencial,73177104-4
251,791,2025-04-15 13:15:00,Remoto,37899207-9
252,1649,2025-04-04 13:15:00,Presencial,73177104-4
253,2719,2025-04-24 17:15:00,Remoto,94023614-4
254,860,2025-04-12 18:45:00,Remoto,57378727-6
255,141,2025-04-08 18:45:00,Remoto,94023614-4
256,3407,2025-04-20 15:00:00,Remoto,37899207-9
257,1456,2025-04-24 15:15:00,Presencial,57378727-6
258,1650,2025-04-07 11:30:00,Presencial,16394885-1
259,2169,2025-04-30 09:15:00,Presencial,16394885-1
260,3499,2025-04-21 10:00:00,Remoto,78812540-6
261,41,2025-04-26 17:00:00,Presencial,21784166-4
262,2653,2025-04-13 15:00:00,Presencial,73177104-4
263,807,2025-04-08 15:30:00,Presencial,21784166-4
264,2753,2025-04-30 17:15:00,Presencial,21784166-4
265,1061,2025-04-08 10:30:00,Presencial,22767738-4
266,2958,2025-04-18 15:45:00,Remoto,95208514-3
267,221,2025-04-30 17:30:00,Presencial,78812540-6
268,1224,2025-04-06 13:45:00,Presencial,83332889-3
269,1753,2025-04-15 13:45:00,Remoto,30387339-7
270,1294,2025-04-02 16:30:00,Presencial,95208514-3
271,1891,2025-04-22 12:30:00,Remoto,22767738-4
272,1357,2025-04-25 12:15:00,Presencial,22767738-4
273,2975,2025-04-18 16:00:00,Remoto,22767738-4
274,670,2025-04-28 12:30:00,Remoto,73177104-4
275,2243,2025-04-12 12:30:00,Remoto,78812540-6
276,984,2025-04-24 13:30:00,Presencial,78812540-6
277,2026,2025-04-19 14:45:00,Remoto,57378727-6
278,3422,2025-04-13 08:45:00,Presencial,16394885-1
279,2486,2025-04-10 15:00:00,Remoto,78812540-6
280,215,2025-05-01 18:30:00,Presencial,57378727-6
281,1561,2025-04-17 09:30:00,Remoto,75524136-0
282,2225,2025-04-21 11:00:00,Remoto,51192824-9
283,105,2025-04-04 16:30:00,Presencial,51192824-9
284,2166,2025-04-06 16:15:00,Presencial,83332889-3
285,50,2025-04-24 16:30:00,Presencial,75524136-0
286,1393,2025-04-12 13:15:00,Remoto,37899207-9
287,2665,2025-04-02 08:45:00,Remoto,57378727-6
288,2053,2025-04-04 08:30:00,Presencial,22767738-4
289,100,2025-04-25 11:15:00,Remoto,51192824-9
290,1655,2025-05-01 15:30:00,Presencial,86209409-0
291,3002,2025-04-10 17:00:00,Presencial,86209409-0
292,939,2025-04-21 15:15:00,Remoto,30387339-7
293,3669,2025-04-27 12:15:00,Presencial,78812540-6
294,11,2025-04-06 08:45:00,Remoto,22767738-4
295,1973,2025-04-19 15:00:00,Presencial,94023614-4
296,315,2025-04-03 11:45:00,Remoto,57378727-6
297,91,2025-05-01 15:15:00,Presencial,21784166-4
298,3357,2025-04-19 16:15:00,Remoto,73177104-4
299,908,2025-04-14 16:15:00,Remoto,22767738-4
300,2925,2025-04-06 12:15:00,Presencial,30387339-7
301,1134,2025-04-28 11:45:00,Presencial,86209409-0
302,1215,2025-04-17 08:45:00,Remoto,22767738-4
303,2944,2025-04-10 16:45:00,Presencial,73177104-4
304,3561,2025-04-16 14:30:00,Remoto,22767738-4
305,3104,2025-04-16 18:45:00,Remoto,86209409-0
306,915,2025-04-10 18:15:00,Remoto,95208514-3
307,3008,2025-04-12 17:15:00,Remoto,37899207-9
308,1931,2025-04-27 15:00:00,Presencial,83332889-3
309,2493,2025-04-05 12:30:00,Presencial,95208514-3
310,1140,2025-04-06 08:00:00,Presencial,22767738-4
311,2558,2025-04-22 17:45:00,Presencial,16394885-1
312,306,2025-04-02 12:15:00,Remoto,30387339-7
313,3535,2025-04-07 09:30:00,Presencial,37899207-9
314,2158,2025-04-17 14:15:00,Remoto,51192824-9
315,3262,2025-04-23 17:30:00,Presencial,95208514-3
316,269,2025-04-15 08:45:00,Remoto,37899207-9
317,140,2025-04-30 10:00:00,Presencial,16394885-1
318,2010,2025-04-28 15:45:00,Remoto,86209409-0
319,247,2025-04-21 16:30:00,Remoto,22767738-4
320,1264,2025-04-02 11:45:00,Presencial,21784166-4
321,3013,2025-04-26 08:45:00,Presencial,83332889-3
322,367,2025-04-29 09:30:00,Remoto,94023614-4
323,1154,2025-04-19 15:00:00,Presencial,37899207-9
324,528,2025-04-04 10:00:00,Remoto,21784166-4
325,596,2025-04-28 12:45:00,Remoto,30387339-7
326,351,2025-04-09 15:00:00,Presencial,86209409-0
327,501,2025-04-08 16:30:00,Remoto,57378727-6
328,1866,2025-04-05 18:45:00,Remoto,16394885-1
329,80,2025-04-05 18:45:00,Presencial,95208514-3
330,580,2025-04-17 08:45:00,Presencial,94023614-4
331,478,2025-04-28 10:15:00,Remoto,73177104-4
332,2429,2025-04-25 10:15:00,Presencial,86209409-0
333,2137,2025-04-20 08:15:00,Presencial,73177104-4
334,1504,2025-04-25 08:45:00,Presencial,37899207-9
335,2902,2025-04-18 18:45:00,Remoto,30387339-7
336,3569,2025-04-20 09:00:00,Remoto,57378727-6
337,630,2025-04-16 13:45:00,Remoto,21784166-4
338,744,2025-04-22 09:45:00,Presencial,78812540-6
339,2579,2025-04-27 17:30:00,Remoto,37899207-9
340,3075,2025-04-30 15:30:00,Presencial,73177104-4
341,2739,2025-04-03 17:15:00,Presencial,78812540-6
342,3366,2025-04-03 16:00:00,Remoto,78812540-6
343,3300,2025-04-29 16:45:00,Remoto,37899207-9
344,1125,2025-04-03 16:30:00,Remoto,75524136-0
345,1510,2025-04-20 14:15:00,Remoto,57378727-6
346,2572,2025-04-11 09:45:00,Presencial,51192824-9
347,1129,2025-04-21 10:45:00,Remoto,22767738-4
348,685,2025-04-03 16:30:00,Remoto,57378727-6
349,1624,2025-04-20 09:15:00,Presencial,83332889-3
350,2724,2025-04-24 18:00:00,Presencial,75524136-0
351,2412,2025-04-04 10:30:00,Remoto,73177104-4
352,1544,2025-04-07 15:00:00,Remoto,37899207-9
353,573,2025-04-16 08:30:00,Presencial,94023614-4
354,1844,2025-04-14 18:15:00,Remoto,83332889-3
355,1965,2025-04-14 16:45:00,Presencial,16394885-1
356,2500,2025-04-18 15:15:00,Presencial,75524136-0
357,2200,2025-04-09 10:45:00,Presencial,30387339-7
358,3385,2025-04-03 10:45:00,Presencial,37899207-9
359,1360,2025-04-06 11:15:00,Presencial,30387339-7
360,1378,2025-04-13 17:00:00,Presencial,51192824-9
361,659,2025-04-09 15:15:00,Presencial,83332889-3
362,2258,2025-04-29 17:00:00,Remoto,95208514-3
363,3219,2025-04-18 13:30:00,Remoto,51192824-9
364,3520,2025-04-17 13:15:00,Presencial,95208514-3
365,3454,2025-04-19 16:15:00,Remoto,21784166-4
366,2531,2025-04-19 11:15:00,Remoto,22767738-4
367,3470,2025-04-25 17:15:00,Remoto,86209409-0
368,1437,2025-04-12 16:15:00,Presencial,57378727-6
369,2304,2025-04-18 09:30:00,Remoto,21784166-4
370,1354,2025-04-03 16:30:00,Remoto,57378727-6
371,1248,2025-05-01 10:00:00,Remoto,94023614-4
372,1530,2025-04-09 11:30:00,Remoto,51192824-9
373,1372,2025-04-13 08:45:00,Remoto,83332889-3
374,2921,2025-04-21 12:45:00,Remoto,22767738-4
375,736,2025-04-05 11:00:00,Presencial,57378727-6
376,2759,2025-04-16 12:15:00,Presencial,57378727-6
377,3434,2025-04-26 08:30:00,Presencial,78812540-6
378,753,2025-04-04 13:45:00,Presencial,75524136-0
379,1758,2025-04-02 12:45:00,Remoto,22767738-4
380,1400,2025-04-02 08:30:00,Presencial,95208514-3
381,640,2025-05-01 09:00:00,Remoto,37899207-9
382,819,2025-04-18 13:30:00,Remoto,37899207-9
383,1443,2025-04-15 17:00:00,Remoto,22767738-4
384,1954,2025-04-03 18:45:00,Presencial,78812540-6
385,1094,2025-04-11 14:45:00,Remoto,21784166-4
386,3516,2025-04-09 18:30:00,Remoto,30387339-7
387,1822,2025-04-15 18:45:00,Remoto,22767738-4
388,886,2025-04-07 13:00:00,Presencial,21784166-4
389,3067,2025-04-21 08:30:00,Remoto,73177104-4
390,1176,2025-04-06 09:15:00,Presencial,37899207-9
391,1131,2025-04-15 15:15:00,Remoto,57378727-6
392,2152,2025-04-30 08:00:00,Presencial,16394885-1
393,2323,2025-05-01 09:15:00,Remoto,78812540-6
394,1620,2025-04-12 12:15:00,Presencial,78812540-6
395,1595,2025-04-26 15:30:00,Remoto,16394885-1
396,526,2025-04-29 12:15:00,Remoto,30387339-7
397,1794,2025-04-18 14:45:00,Presencial,83332889-3
398,448,2025-04-08 14:00:00,Presencial,51192824-9
399,2639,2025-04-02 18:45:00,Remoto,57378727-6
400,639,2025-04-10 10:45:00,Remoto,57378727-6
401,3374,2025-04-12 17:15:00,Presencial,22767738-4
402,3113,2025-04-22 11:15:00,Presencial,75524136-0
403,1045,2025-04-29 12:30:00,Presencial,73177104-4
404,3356,2025-04-11 14:45:00,Presencial,83332889-3
405,1417,2025-04-24 13:30:00,Remoto,83332889-3
406,2015,2025-04-06 13:45:00,Remoto,94023614-4
407,2315,2025-04-26 15:15:00,Remoto,94023614-4
408,505,2025-04-24 16:00:00,Remoto,16394885-1
409,2703,2025-04-25 12:15:00,Remoto,86209409-0
410,1871,2025-04-03 09:15:00,Remoto,86209409-0
411,2160,2025-04-09 10:15:00,Remoto,75524136-0
412,2850,2025-04-25 09:30:00,Presencial,21784166-4
413,2279,2025-04-04 08:15:00,Remoto,16394885-1
414,3082,2025-04-04 09:30:00,Presencial,30387339-7
415,1267,2025-04-27 15:30:00,Remoto,73177104-4
416,1280,2025-04-03 09:15:00,Presencial,75524136-0
417,1833,2025-04-08 16:15:00,Presencial,22767738-4
418,3483,2025-04-14 18:45:00,Presencial,21784166-4
419,2789,2025-04-02 10:00:00,Remoto,86209409-0
420,1661,2025-04-19 18:00:00,Presencial,78812540-6
421,3390,2025-04-23 13:00:00,Remoto,73177104-4
422,511,2025-04-26 14:15:00,Presencial,51192824-9
423,3240,2025-04-29 17:00:00,Presencial,30387339-7
424,78,2025-04-18 08:30:00,Remoto,21784166-4
425,26,2025-04-10 15:30:00,Presencial,86209409-0
426,669,2025-04-11 17:45:00,Presencial,94023614-4
427,476,2025-04-18 13:15:00,Remoto,78812540-6
428,414,2025-04-23 15:30:00,Remoto,21784166-4
429,1246,2025-04-30 16:00:00,Remoto,94023614-4
430,3534,2025-04-17 13:45:00,Remoto,22767738-4
431,479,2025-04-28 11:30:00,Remoto,22767738-4
432,2454,2025-04-12 15:15:00,Presencial,83332889-3
433,794,2025-04-12 10:30:00,Presencial,78812540-6
434,3105,2025-04-10 18:00:00,Remoto,57378727-6
435,2536,2025-04-05 12:30:00,Presencial,16394885-1
436,1029,2025-04-26 14:00:00,Remoto,94023614-4
437,45,2025-04-06 10:00:00,Presencial,22767738-4
438,1338,2025-04-14 17:30:00,Presencial,75524136-0
439,2892,2025-04-28 18:00:00,Presencial,57378727-6
440,3590,2025-04-28 13:45:00,Presencial,21784166-4
441,618,2025-04-03 17:00:00,Presencial,78812540-6
442,3216,2025-04-21 16:00:00,Remoto,83332889-3
443,3052,2025-04-22 17:00:00,Remoto,73177104-4
444,2353,2025-04-15 16:45:00,Remoto,95208514-3
445,1619,2025-04-04 09:00:00,Presencial,95208514-3
446,1828,2025-04-24 15:30:00,Presencial,22767738-4
447,1420,2025-04-26 15:45:00,Presencial,75524136-0
448,1818,2025-04-09 12:45:00,Presencial,16394885-1
449,1568,2025-04-02 13:00:00,Presencial,57378727-6
450,3055,2025-04-05 11:30:00,Remoto,51192824-9
451,2296,2025-04-05 15:30:00,Remoto,83332889-3
452,828,2025-04-02 18:15:00,Remoto,21784166-4
453,1729,2025-04-22 13:30:00,Remoto,94023614-4
454,2250,2025-04-17 14:30:00,Remoto,22767738-4
455,1333,2025-04-23 11:00:00,Remoto,78812540-6
456,992,2025-04-03 11:00:00,Presencial,30387339-7
457,241,2025-04-19 09:45:00,Remoto,21784166-4
458,706,2025-04-03 18:45:00,Presencial,94023614-4
459,305,2025-04-24 17:00:00,Remoto,95208514-3
460,2039,2025-04-06 17:30:00,Remoto,86209409-0
461,3416,2025-04-06 15:30:00,Presencial,57378727-6
462,1830,2025-04-08 12:15:00,Presencial,94023614-4
463,2565,2025-04-16 10:15:00,Presencial,86209409-0
464,1188,2025-04-20 14:15:00,Remoto,21784166-4
465,1457,2025-04-22 11:00:00,Presencial,57378727-6
466,167,2025-04-10 09:30:00,Remoto,51192824-9
467,2204,2025-05-01 10:30:00,Remoto,16394885-1
468,1083,2025-04-03 14:45:00,Remoto,78812540-6
469,2221,2025-04-10 09:30:00,Remoto,73177104-4
470,1907,2025-04-27 11:45:00,Remoto,86209409-0
471,3054,2025-04-20 11:00:00,Remoto,75524136-0
472,1472,2025-04-26 11:30:00,Remoto,78812540-6
473,3215,2025-04-08 13:00:00,Presencial,94023614-4
474,1580,2025-04-21 17:45:00,Presencial,30387339-7
475,1531,2025-04-12 09:30:00,Remoto,16394885-1
476,980,2025-04-04 09:45:00,Presencial,57378727-6
477,840,2025-04-09 11:30:00,Remoto,94023614-4
478,1526,2025-04-28 17:30:00,Remoto,57378727-6
479,718,2025-04-02 14:00:00,Presencial,75524136-0
480,1201,2025-04-04 16:00:00,Presencial,57378727-6
481,2936,2025-04-10 12:45:00,Presencial,22767738-4
482,749,2025-04-23 10:15:00,Presencial,73177104-4
483,1541,2025-04-09 08:00:00,Presencial,37899207-9
484,3601,2025-04-12 14:30:00,Remoto,22767738-4
485,1990,2025-04-09 18:00:00,Presencial,94023614-4
